Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	7	7	100
cent1972	Central Kurdish	Indo-European	Eurasia	15	1	1	100
cuaa1241	Cua	Austroasiatic	Eurasia	8	2	2	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	1	1	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	2	2	100
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	11	10	90.91
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	9	8	88.89
moro1285	Moro	Heibanic	Africa	77	44	39	88.64
homa1239	Homa	Atlantic-Congo	Africa	14	8	7	87.5
omii1238	Omi	Central Sudanic	Africa	18	8	7	87.5
kaby1243	Kabyle	Afro-Asiatic	Africa	65	33	28	84.85
otor1240	Otoro	Heibanic	Africa	88	46	39	84.78
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	13	11	84.62
belu1239	Belueli	Atlantic-Congo	Africa	73	31	26	83.87
sooo1256	Soo	Kuliak	Africa	82	43	36	83.72
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	30	25	83.33
yana1271	Yana		North America	91	34	28	82.35
kips1239	Kipsigis	Nilotic	Africa	156	55	45	81.82
masa1300	Masai	Nilotic	Africa	73	44	36	81.82
tagb1258	Tagbanwa	Austronesian	Papunesia	42	22	18	81.82
high1243	Highland Totonac	Totonacan	North America	120	38	31	81.58
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	26	21	80.77
mich1245	Michoacán Nahuatl	Uto-Aztecan	North America	177	56	45	80.36
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
jita1239	Jita	Atlantic-Congo	Africa	75	35	28	80
tira1254	Tira	Heibanic	Africa	77	40	32	80
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	49	39	79.59
safw1238	Safwa	Atlantic-Congo	Africa	48	29	23	79.31
poko1263	Pökoot	Nilotic	Africa	153	53	42	79.25
omah1247	Omaha-Ponca	Siouan	North America	81	24	19	79.17
umot1240	Umotína	Bororoan	South America	73	24	19	79.17
maku1277	Maku'a	Austronesian	Papunesia	29	19	15	78.95
turk1308	Turkana	Nilotic	Africa	99	52	41	78.85
twan1247	Twana	Salishan	North America	87	33	26	78.79
fipa1238	Fipa	Atlantic-Congo	Africa	120	42	33	78.57
rend1243	Rendille	Afro-Asiatic	Africa	44	28	22	78.57
yukp1241	Yukpa	Cariban	South America	106	42	33	78.57
atak1252	Atakapa		North America	149	51	40	78.43
nige1253	Hausa States Fulfulde	Atlantic-Congo	Africa	136	60	47	78.33
gbay1278	Gbayi	Atlantic-Congo	Africa	58	23	18	78.26
wara1292	Samue	Atlantic-Congo	Africa	65	32	25	78.12
beng1282	Benga	Atlantic-Congo	Africa	132	41	32	78.05
maas1239	Maasina Fulfulde	Atlantic-Congo	Africa	133	59	46	77.97
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	27	21	77.78
ndam1251	Ndam	Afro-Asiatic	Africa	41	18	14	77.78
pula1262	Pular	Atlantic-Congo	Africa	134	58	45	77.59
anua1242	Anuak	Nilotic	Africa	71	49	38	77.55
anta1255	Antankarana Malagasy	Austronesian	Africa	102	31	24	77.42
peer1241	Peere	Atlantic-Congo	Africa	147	53	41	77.36
ando1256	Andoque		South America	38	13	10	76.92
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	26	20	76.92
tenn1246	Tennet	Surmic	Africa	158	43	33	76.74
buku1249	Bukusu	Atlantic-Congo	Africa	52	30	23	76.67
hdii1240	Hdi	Afro-Asiatic	Africa	98	47	36	76.6
lama1288	Lamang	Afro-Asiatic	Africa	143	55	42	76.36
para1311	Paraguayan Guaraní	Tupian	South America	54	21	16	76.19
kons1243	Konso	Afro-Asiatic	Africa	87	50	38	76
suku1261	Sukuma	Atlantic-Congo	Africa	128	50	38	76
gube1234	Gubeeher-Gufangor-Gubelor	Atlantic-Congo	Africa	180	58	44	75.86
ahin1234	Ahin-Kayapa Kalanguya	Austronesian	Papunesia	104	37	28	75.68
tuge1241	Tugen	Nilotic	Africa	126	45	34	75.56
lumu1239	Lumun	Narrow Talodi	Africa	187	57	43	75.44
tete1251	Tetelcingo Nahuatl	Uto-Aztecan	North America	173	57	43	75.44
bata1285	Batanga	Atlantic-Congo	Africa	113	40	30	75
kari1306	Kari	Atlantic-Congo	Africa	76	32	24	75
keng1240	Kenga	Central Sudanic	Africa	124	48	36	75
nalo1235	Nalögo	Austronesian	Papunesia	33	16	12	75
papa1238	Papantla Totonac	Totonacan	North America	128	48	36	75
sham1280	Shambala	Atlantic-Congo	Africa	118	44	33	75
soli1239	Soli	Atlantic-Congo	Africa	101	36	27	75
tain1254	Taino	Arawakan	North America	4	4	3	75
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	48	36	75
pula1263	Pulaar	Atlantic-Congo	Africa	130	59	44	74.58
tonk1249	Tonkawa		North America	156	51	38	74.51
yuqu1240	Yuqui	Tupian	South America	153	51	38	74.51
gaam1241	Gaam	Eastern Jebel	Africa	83	47	35	74.47
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	43	32	74.42
gida1247	Gidar	Afro-Asiatic	Africa	80	39	29	74.36
sand1273	Sandawe		Africa	76	39	29	74.36
natu1246	Natügu	Austronesian	Papunesia	96	35	26	74.29
tega1236	Tegali	Rashad	Africa	82	35	26	74.29
gaaa1245	Gaa	Atlantic-Congo	Africa	79	27	20	74.07
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	42	31	73.81
nkon1248	Nkonya	Atlantic-Congo	Africa	128	42	31	73.81
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	38	28	73.68
nand1266	Nandi	Nilotic	Africa	156	53	39	73.58
yama1264	Yámana		South America	136	49	36	73.47
nden1248	Ndengereko	Atlantic-Congo	Africa	88	56	41	73.21
ache1245	Acheron	Narrow Talodi	Africa	120	41	30	73.17
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	41	30	73.17
giiw1236	Giiwo	Afro-Asiatic	Africa	70	26	19	73.08
makw1236	Makwe	Atlantic-Congo	Africa	86	52	38	73.08
meen1242	Me'en	Surmic	Africa	167	52	38	73.08
aika1237	Aikanã		South America	90	37	27	72.97
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	48	35	72.92
keig1242	Keiga	Kadugli-Krongo	Africa	148	48	35	72.92
ndun1249	Ndunga	Atlantic-Congo	Africa	127	48	35	72.92
kaon1241	Kaonde	Atlantic-Congo	Africa	120	44	32	72.73
ndom1245	Ndom	Kolopom	Papunesia	74	22	16	72.73
tafi1243	Tafi	Atlantic-Congo	Africa	93	44	32	72.73
tago1246	Tagoi	Rashad	Africa	107	44	32	72.73
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	51	37	72.55
giry1241	Giryama	Atlantic-Congo	Africa	83	40	29	72.5
daha1245	Dahalo	Afro-Asiatic	Africa	46	29	21	72.41
bela1256	Belanda Bor	Nilotic	Africa	76	47	34	72.34
bong1284	Bongili	Atlantic-Congo	Africa	102	47	34	72.34
soma1255	Somali	Afro-Asiatic	Africa	97	47	34	72.34
budu1265	Buduma	Afro-Asiatic	Africa	137	54	39	72.22
