Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	8	100
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	26	24	92.31
ndob1238	Ndobo	Atlantic-Congo	Africa	85	81	73	90.12
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	51	44	86.27
jita1239	Jita	Atlantic-Congo	Africa	75	71	61	85.92
gaaa1245	Gaa	Atlantic-Congo	Africa	79	79	66	83.54
kaon1241	Kaonde	Atlantic-Congo	Africa	120	109	91	83.49
bafi1243	Bafia	Atlantic-Congo	Africa	173	151	126	83.44
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	112	92	82.14
lika1243	Liko	Atlantic-Congo	Africa	165	140	115	82.14
belu1239	Belueli	Atlantic-Congo	Africa	73	71	58	81.69
gusi1247	Gusii	Atlantic-Congo	Africa	173	147	120	81.63
mpot1240	Mpoto	Atlantic-Congo	Africa	173	152	124	81.58
tira1254	Tira	Heibanic	Africa	77	70	57	81.43
zamb1245	Zamba	Atlantic-Congo	Africa	152	140	114	81.43
pagi1243	Pagibete	Atlantic-Congo	Africa	170	155	126	81.29
vunj1238	Vunjo	Atlantic-Congo	Africa	165	142	115	80.99
maba1270	Mabaale	Atlantic-Congo	Africa	118	110	89	80.91
bomb1262	Bomboma	Atlantic-Congo	Africa	119	115	93	80.87
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	146	118	80.82
baga1273	Baga Koga	Atlantic-Congo	Africa	104	104	84	80.77
suku1261	Sukuma	Atlantic-Congo	Africa	128	119	96	80.67
bamw1238	Bamwe	Atlantic-Congo	Africa	102	98	79	80.61
loba1239	Lobala	Atlantic-Congo	Africa	98	92	74	80.43
cori1240	Cori	Atlantic-Congo	Africa	139	127	102	80.31
lafo1243	Lafofa		Africa	68	66	53	80.3
saam1283	Saamia	Atlantic-Congo	Africa	134	121	97	80.17
lamb1272	Lambya	Atlantic-Congo	Africa	132	124	99	79.84
koti1238	Koti	Atlantic-Congo	Africa	182	158	126	79.75
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	148	118	79.73
matu1259	Matumbi	Atlantic-Congo	Africa	134	118	94	79.66
tuki1240	Tuki	Atlantic-Congo	Africa	160	147	117	79.59
baga1272	Baga Sitemu	Atlantic-Congo	Africa	140	132	105	79.55
bush1247	Bushoong	Atlantic-Congo	Africa	184	156	124	79.49
konz1239	Konzo	Atlantic-Congo	Africa	133	126	100	79.37
mwan1247	Mwani	Atlantic-Congo	Africa	157	145	115	79.31
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	158	125	79.11
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	148	117	79.05
cici1237	Cicipu	Atlantic-Congo	Africa	172	157	124	78.98
nyan1307	Nyankole	Atlantic-Congo	Africa	185	157	124	78.98
yawa1261	Yawalapití	Arawakan	South America	58	57	45	78.95
mako1251	Makonde	Atlantic-Congo	Africa	164	147	116	78.91
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	128	101	78.91
