Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	6	6	100
ramo1244	Ramoaaina	Austronesian	Papunesia	52	34	31	91.18
oroh1237	Oroha	Austronesian	Papunesia	118	95	86	90.53
lauu1247	Lau	Austronesian	Papunesia	141	98	88	89.8
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	58	52	89.66
tiga1245	Tigak	Austronesian	Papunesia	171	112	100	89.29
wala1266	Wala	Austronesian	Papunesia	150	102	91	89.22
aulu1238	Aulua	Austronesian	Papunesia	160	111	98	88.29
mari1426	Sunwadia	Austronesian	Papunesia	167	109	96	88.07
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	7	87.5
labo1244	Ninde	Austronesian	Papunesia	122	88	77	87.5
tali1259	Talise	Austronesian	Papunesia	142	104	91	87.5
paam1238	Paama	Austronesian	Papunesia	117	79	69	87.34
lamo1244	Lamogai	Austronesian	Papunesia	135	100	87	87
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	107	93	86.92
east2443	East Ambae	Austronesian	Papunesia	182	116	100	86.21
tung1290	Tungag	Austronesian	Papunesia	178	116	100	86.21
mera1242	Meramera	Austronesian	Papunesia	54	36	31	86.11
ngul1236	Nguluwan	Austronesian	Papunesia	56	50	43	86
leme1238	Lemerig	Austronesian	Papunesia	164	107	92	85.98
port1285	Port Sandwich	Austronesian	Papunesia	174	112	96	85.71
monn1252	Mon	Austroasiatic	Eurasia	91	69	59	85.51
bara1370	Baram Kayan	Austronesian	Papunesia	143	110	94	85.45
mafe1237	Mafea	Austronesian	Papunesia	134	96	82	85.42
gela1263	Gela	Austronesian	Papunesia	181	116	99	85.34
aros1241	Arosi	Austronesian	Papunesia	141	102	87	85.29
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	101	86	85.15
kaul1240	Kaulong	Austronesian	Papunesia	90	60	51	85
vure1239	Vurës	Austronesian	Papunesia	194	120	102	85
sout2859	Southeast Ambrym	Austronesian	Papunesia	124	93	79	84.95
amar1272	Amara	Austronesian	Papunesia	148	106	90	84.91
saaa1240	Sa'a	Austronesian	Papunesia	145	106	90	84.91
surs1246	Sursurunga	Austronesian	Papunesia	159	106	90	84.91
maan1238	Ma'anyan	Austronesian	Papunesia	163	112	95	84.82
