Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
wall1257	East Uvean	Austronesian	Papunesia	189	170	149	87.65
bann1247	Bannoni	Austronesian	Papunesia	72	69	60	86.96
gada1258	Ga'dang	Austronesian	Papunesia	70	69	59	85.51
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	104	88	84.62
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	102	86	84.31
anut1237	Anuta	Austronesian	Papunesia	153	143	120	83.92
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	60	50	83.33
hala1252	Halang	Austroasiatic	Eurasia	82	76	63	82.89
penr1237	Māngarongaro	Austronesian	Papunesia	117	111	92	82.88
niue1239	Niuean	Austronesian	Papunesia	137	130	107	82.31
iran1262	Iranun	Austronesian	Papunesia	138	129	106	82.17
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	56	46	82.14
pile1238	Vaeakau-Taumako	Austronesian	Papunesia	184	167	137	82.04
samo1305	Samoan	Austronesian	Papunesia	193	171	140	81.87
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
dehu1237	Dehu	Austronesian	Papunesia	150	132	108	81.82
hili1240	Hiligaynon	Austronesian	Papunesia	77	71	58	81.69
bara1370	Baram Kayan	Austronesian	Papunesia	143	135	110	81.48
maro1244	Marovo	Austronesian	Papunesia	84	81	66	81.48
blan1242	Blang	Austroasiatic	Eurasia	159	145	118	81.38
taku1257	Takuu	Austronesian	Papunesia	168	155	126	81.29
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	128	104	81.25
east2332	Eastern Bru	Austroasiatic	Eurasia	134	128	104	81.25
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	52	81.25
lotu1250	Lotud	Austronesian	Papunesia	132	122	99	81.15
cent1990	Central Nicobarese	Austroasiatic	Eurasia	169	153	124	81.05
niua1240	Niuafo'ou	Austronesian	Papunesia	182	163	132	80.98
renn1242	Rennell-Bellona	Austronesian	Papunesia	166	152	123	80.92
rovi1238	Roviana	Austronesian	Papunesia	161	152	123	80.92
west2516	West Uvean	Austronesian	Papunesia	189	170	137	80.59
bala1311	Balangingi	Austronesian	Papunesia	153	144	116	80.56
cebu1242	Cebuano	Austronesian	Papunesia	84	77	62	80.52
binu1244	Talaandig-Binukid	Austronesian	Papunesia	108	102	82	80.39
pang1291	Pangutaran Sama	Austronesian	Papunesia	134	127	102	80.31
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	127	102	80.31
agut1237	Agutaynen	Austronesian	Papunesia	161	152	122	80.26
muss1246	Mussau-Emira	Austronesian	Papunesia	90	81	65	80.25
east1236	Eastern Katu	Austroasiatic	Eurasia	106	96	77	80.21
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	135	108	80
tang1348	Tangga	Austronesian	Papunesia	140	130	104	80
mang1401	Mangareva	Austronesian	Papunesia	173	159	127	79.87
oroh1237	Oroha	Austronesian	Papunesia	118	114	91	79.82
mota1237	Mota	Austronesian	Papunesia	107	99	79	79.8
lauu1247	Lau	Austronesian	Papunesia	141	128	102	79.69
tomb1244	Tombonuo	Austronesian	Papunesia	136	128	102	79.69
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	123	98	79.67
unea1237	Uneapa	Austronesian	Papunesia	87	78	62	79.49
taga1272	Tagabawa	Austronesian	Papunesia	161	151	120	79.47
long1395	Longgu	Austronesian	Papunesia	151	136	108	79.41
rapa1244	Rapanui	Austronesian	Papunesia	163	145	115	79.31
ajie1238	Ajië	Austronesian	Papunesia	149	140	111	79.29
ghar1239	Ghari	Austronesian	Papunesia	151	140	111	79.29
iray1237	Iraya	Austronesian	Papunesia	113	106	84	79.25
reng1252	Rengao	Austroasiatic	Eurasia	172	154	122	79.22
west2564	West Berawan	Austronesian	Papunesia	83	77	61	79.22
bant1288	Bantoanon	Austronesian	Papunesia	124	115	91	79.13
bunu1267	Bunun	Austronesian	Papunesia	74	67	53	79.1
gela1263	Gela	Austronesian	Papunesia	181	162	128	79.01
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	157	124	78.98
simb1256	Simbo	Austronesian	Papunesia	95	90	71	78.89
tuva1244	Tuvalu	Austronesian	Papunesia	179	161	127	78.88
kapi1249	Kapingamarangi	Austronesian	Papunesia	72	71	56	78.87
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	123	97	78.86
sika1261	Sikaiana	Austronesian	Papunesia	173	156	123	78.85
lund1271	Lundayeh	Austronesian	Papunesia	141	131	103	78.63
ngul1236	Nguluwan	Austronesian	Papunesia	56	56	44	78.57
wala1266	Wala	Austronesian	Papunesia	150	140	110	78.57
tang1347	Movono	Austronesian	Papunesia	159	149	117	78.52
tiru1241	Tiruray	Austronesian	Papunesia	145	135	106	78.52
raro1241	Southern Cook Island Maori	Austronesian	Papunesia	173	158	124	78.48
sapu1248	Sapuan	Austroasiatic	Eurasia	152	144	113	78.47
waru1264	Warrongo	Pama-Nyungan	Australia	72	65	51	78.46
hawa1245	Hawaiian	Austronesian	Papunesia	181	162	127	78.4
jehh1245	Jeh	Austroasiatic	Eurasia	139	125	98	78.4
naro1251	Narom	Austronesian	Papunesia	132	125	98	78.4
nort2845	North Marquesan	Austronesian	Papunesia	178	162	127	78.4
maon1241	Maonan	Tai-Kadai	Eurasia	94	83	65	78.31
maan1238	Ma'anyan	Austronesian	Papunesia	163	152	119	78.29
bugh1239	Bughotu	Austronesian	Papunesia	131	124	97	78.23
isin1239	Isinai	Austronesian	Papunesia	152	142	111	78.17
yako1252	Yakoma	Atlantic-Congo	Africa	143	132	103	78.03
nort2994	Northern Roglai	Austronesian	Eurasia	90	86	67	77.91
bahn1262	Bahnar	Austroasiatic	Eurasia	117	113	88	77.88
leme1238	Lemerig	Austronesian	Papunesia	164	149	116	77.85
sabu1255	Hawu	Austronesian	Papunesia	172	158	123	77.85
west2397	Western Bru	Austroasiatic	Eurasia	157	149	116	77.85
east2447	East Futuna	Austronesian	Papunesia	187	167	130	77.84
alya1239	Alyawarr	Pama-Nyungan	Australia	68	63	49	77.78
aros1241	Arosi	Austronesian	Papunesia	141	135	105	77.78
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	7	77.78
mara1404	Maranao	Austronesian	Papunesia	128	117	91	77.78
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	135	105	77.78
tolo1255	Tolomako	Austronesian	Papunesia	120	117	91	77.78
kawi1241	Kawi	Austronesian	Papunesia	128	116	90	77.59
neng1238	Nengone	Austronesian	Papunesia	169	156	121	77.56
hyam1245	Hyam	Atlantic-Congo	Africa	93	89	69	77.53
rung1259	Rungus	Austronesian	Papunesia	137	129	100	77.52
uuuu1243	U	Austroasiatic	Eurasia	139	129	100	77.52
kusa1251	Kusaghe-Njela	Austronesian	Papunesia	177	160	124	77.5
cent2058	Central Maewo	Austronesian	Papunesia	110	102	79	77.45
cari1276	Caribbean Javanese	Austronesian	South America	97	93	72	77.42
hoav1238	Hoava	Austronesian	Papunesia	176	159	123	77.36
labo1244	Ninde	Austronesian	Papunesia	122	119	92	77.31
puoc1238	Ksingmul	Austroasiatic	Eurasia	94	88	68	77.27
orow1242	Orowe	Austronesian	Papunesia	160	149	115	77.18
seda1262	Sedang	Austroasiatic	Eurasia	178	162	125	77.16
tahi1242	Tahitian	Austronesian	Papunesia	188	166	128	77.11
tokp1240	Tok Pisin	Indo-European	Papunesia	184	166	128	77.11
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	165	127	76.97
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	143	110	76.92
khmu1256	Khmu	Austroasiatic	Eurasia	167	156	120	76.92
oldm1242	Old Mon	Austroasiatic	Eurasia	171	156	120	76.92
piji1239	Pijin	Indo-European	Papunesia	154	143	110	76.92
kuan1248	Kuanua	Austronesian	Papunesia	174	160	123	76.88
masb1238	Masbatenyo	Austronesian	Papunesia	172	160	123	76.88
nali1244	Nalik	Austronesian	Papunesia	174	160	123	76.88
yaka1277	Yakan	Austronesian	Papunesia	178	160	123	76.88
ughe1237	Ughele	Austronesian	Papunesia	182	164	126	76.83
mual1241	Mualang	Austronesian	Papunesia	189	168	129	76.79
paco1243	Pacoh	Austroasiatic	Eurasia	188	168	129	76.79
arak1252	Araki	Austronesian	Papunesia	194	172	132	76.74
kaur1267	Kaurna	Pama-Nyungan	Australia	48	43	33	76.74
siku1242	Sikule	Austronesian	Papunesia	140	129	99	76.74
mama1275	Mamanwa	Austronesian	Papunesia	149	137	105	76.64
emae1237	Emae	Austronesian	Papunesia	156	141	108	76.6
suru1261	Suruí Do Pará	Tupian	South America	68	64	49	76.56
tiko1237	Tikopia	Austronesian	Papunesia	159	145	111	76.55
east2485	Eastern Penan	Austronesian	Papunesia	147	132	101	76.52
kwar1239	Kwara'ae	Austronesian	Papunesia	186	166	127	76.51
tido1248	Tidore	North Halmahera	Papunesia	96	85	65	76.47
ahom1240	Ahom	Tai-Kadai	Eurasia	178	157	120	76.43
