Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
camp1261	Campidanese Sardinian	Indo-European	Eurasia	181	172	155	90.12
sici1248	Sicilian	Indo-European	Eurasia	179	170	152	89.41
arom1237	Aromanian	Indo-European	Eurasia	165	160	142	88.75
cors1241	Corsican	Indo-European	Eurasia	179	170	150	88.24
gali1258	Galician	Indo-European	Eurasia	192	180	157	87.22
lomb1257	Lombard	Indo-European	Eurasia	190	178	155	87.08
occi1239	Occitan	Indo-European	Eurasia	187	175	151	86.29
port1283	Portuguese	Indo-European	Eurasia	192	178	152	85.39
roma1326	Romansh	Indo-European	Eurasia	178	168	142	84.52
ital1282	Italian	Indo-European	Eurasia	193	179	151	84.36
gheg1238	Gheg Albanian	Indo-European	Eurasia	188	176	148	84.09
mace1250	Macedonian	Indo-European	Eurasia	187	176	148	84.09
stan1289	Catalan	Indo-European	Eurasia	193	180	151	83.89
dani1285	Danish	Indo-European	Eurasia	182	171	141	82.46
plau1238	Plautdietsch	Indo-European	North America	178	168	138	82.14
ukra1253	Ukrainian	Indo-European	Eurasia	171	157	127	80.89
latv1249	Latvian	Indo-European	Eurasia	184	176	142	80.68
mode1248	Modern Greek	Indo-European	Eurasia	195	180	145	80.56
clas1249	Classical-Middle Armenian	Indo-European	Eurasia	183	177	142	80.23
sout1528	Serbian-Croatian-Bosnian	Indo-European	Eurasia	187	177	142	80.23
slov1268	Slovenian	Indo-European	Eurasia	192	180	143	79.44
aghw1237	Aghwan	Nakh-Daghestanian	Eurasia	147	135	107	79.26
bela1254	Belarusian	Indo-European	Eurasia	190	178	141	79.21
sout2649	Southern Pashto	Indo-European	Eurasia	176	166	131	78.92
czec1258	Czech	Indo-European	Eurasia	191	178	140	78.65
lith1251	Lithuanian	Indo-European	Eurasia	191	178	139	78.09
malt1254	Maltese	Afro-Asiatic	Eurasia	173	159	124	77.99
bera1262	Berau Malay	Austronesian	Papunesia	11	9	7	77.78
stan1290	French	Indo-European	Eurasia	195	180	140	77.78
olde1238	Old English (ca. 450-1100)	Indo-European	Eurasia	191	179	137	76.54
west2369	Western Farsi	Indo-European	Eurasia	183	170	130	76.47
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	46	35	76.09
bora1271	Borana-Arsi-Guji Oromo	Afro-Asiatic	Africa	78	75	57	76
iris1253	Irish	Indo-European	Eurasia	189	176	133	75.57
iron1242	Iron Ossetian	Indo-European	Eurasia	172	164	123	75
lamb1269	Lambadi	Indo-European	Eurasia	155	152	114	75
wels1247	Welsh	Indo-European	Eurasia	173	167	125	74.85
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	59	44	74.58
dutc1256	Dutch	Indo-European	Eurasia	187	175	130	74.29
voti1245	Votic	Uralic	Eurasia	169	155	115	74.19
alac1244	Alacatlatzala Mixtec	Otomanguean	North America	154	147	109	74.15
chal1275	Chaldean Neo-Aramaic	Afro-Asiatic	Eurasia	181	169	125	73.96
nzad1234	Nzadi	Atlantic-Congo	Africa	101	96	71	73.96
soma1255	Somali	Afro-Asiatic	Africa	97	92	68	73.91
hind1269	Hindi	Indo-European	Eurasia	187	176	130	73.86
icel1247	Icelandic	Indo-European	Eurasia	184	172	127	73.84
faro1244	Faroese	Indo-European	Eurasia	194	179	132	73.74
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	129	95	73.64
nepa1254	Nepali	Indo-European	Eurasia	162	155	114	73.55
daha1245	Dahalo	Afro-Asiatic	Africa	46	45	33	73.33
stan1293	English	Indo-European	Eurasia	195	180	132	73.33
embe1262	Emberá-Chamí	Chocoan	South America	159	146	107	73.29
haus1257	Hausa	Afro-Asiatic	Africa	91	86	63	73.26
swed1254	Swedish	Indo-European	Eurasia	182	168	123	73.21
ndam1251	Ndam	Afro-Asiatic	Africa	41	41	30	73.17
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	126	92	73.02
tezo1238	Tezoatlán Mixtec	Otomanguean	North America	162	155	113	72.9
west2354	Western Frisian	Indo-European	Eurasia	187	173	126	72.83
esim1238	Esimbi	Atlantic-Congo	Africa	154	147	107	72.79
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	55	40	72.73
bret1244	Breton	Indo-European	Eurasia	189	178	129	72.47
sida1246	Sidamo	Afro-Asiatic	Africa	104	98	71	72.45
brah1256	Brahui	Dravidian	Eurasia	151	145	105	72.41
mund1326	Mündü	Atlantic-Congo	Africa	120	112	81	72.32
siwi1239	Siwi	Afro-Asiatic	Africa	168	155	112	72.26
ilia1236	Ilianen Manobo	Austronesian	Papunesia	18	18	13	72.22
boht1238	Gardabani Bohtan Neo-Aramaic	Afro-Asiatic	Eurasia	166	158	114	72.15
nucl1706	Neo-Mandaic	Afro-Asiatic	Eurasia	159	147	106	72.11
stan1318	Standard Arabic	Afro-Asiatic	Eurasia	167	154	111	72.08
mari1414	Maria (India)	Dravidian	Eurasia	119	114	82	71.93
poli1260	Polish	Indo-European	Eurasia	195	180	129	71.67
saki1247	Sakizaya	Austronesian	Papunesia	135	127	91	71.65
tete1251	Tetelcingo Nahuatl	Uto-Aztecan	North America	173	162	116	71.6
nucl1235	Eastern Armenian	Indo-European	Eurasia	188	176	126	71.59
huas1242	Huastec	Mayan	North America	176	165	118	71.52
russ1263	Russian	Indo-European	Eurasia	193	179	128	71.51
dime1235	Dime	South Omotic	Africa	52	49	35	71.43
hebr1245	Modern Hebrew	Afro-Asiatic	Eurasia	167	154	110	71.43
zaca1241	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	Uto-Aztecan	North America	164	154	110	71.43
pume1238	Pumé		South America	137	129	92	71.32
gana1278	Ganai	Pama-Nyungan	Australia	53	52	37	71.15
qaqe1238	Qaqet	Baining	Papunesia	55	52	37	71.15
gari1256	Garifuna	Arawakan	North America	80	76	54	71.05
chad1249	Chadian Arabic	Afro-Asiatic	Africa	146	138	98	71.01
sara1340	Saramaccan	Indo-European	South America	183	169	120	71.01
anci1242	Ancient Greek	Indo-European	Eurasia	194	179	127	70.95
orma1241	Orma	Afro-Asiatic	Africa	128	120	85	70.83
