Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	101	94	93.07
dura1244	Dura	Sino-Tibetan	Eurasia	171	138	121	87.68
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	117	102	87.18
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	134	116	86.57
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	102	88	86.27
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	29	25	86.21
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	116	100	86.21
mala1463	Malavedan	Dravidian	Eurasia	163	137	118	86.13
toda1252	Toda	Dravidian	Eurasia	139	121	104	85.95
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	145	124	85.52
mill1237	Millcayac	Huarpean	South America	122	109	93	85.32
even1259	Evenki	Tungusic	Eurasia	158	129	110	85.27
nort2690	Northern Uzbek	Turkic	Eurasia	193	154	131	85.06
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	80	68	85
hrus1242	Hruso		Eurasia	89	79	67	84.81
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	118	100	84.75
tuvi1240	Tuvinian	Turkic	Eurasia	154	124	105	84.68
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	142	120	84.51
muth1236	Muthuvan	Dravidian	Eurasia	143	116	98	84.48
mudu1239	Muduga	Dravidian	Eurasia	161	135	114	84.44
kada1242	Kadar	Dravidian	Eurasia	156	127	107	84.25
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	133	112	84.21
chot1239	Chothe	Sino-Tibetan	Eurasia	176	145	122	84.14
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	151	127	84.11
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	132	111	84.09
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	94	79	84.04
tang1373	Tangwang	Sino-Tibetan	Eurasia	150	119	100	84.03
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	112	94	83.93
crim1257	Crimean Tatar	Turkic	Eurasia	179	143	120	83.92
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	149	125	83.89
defa1248	Defaka	Ijoid	Africa	75	68	57	83.82
colo1256	Tsafiki	Barbacoan	South America	144	117	98	83.76
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	129	108	83.72
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	147	123	83.67
west2417	Western Muya	Sino-Tibetan	Eurasia	112	98	82	83.67
than1259	Thangmi	Sino-Tibetan	Eurasia	177	146	122	83.56
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	91	76	83.52
guru1261	Gurung	Sino-Tibetan	Eurasia	174	145	121	83.45
yona1241	Yonaguni	Japonic	Eurasia	164	132	110	83.33
khak1248	Khakas	Turkic	Eurasia	170	137	114	83.21
dara1250	Darai	Indo-European	Eurasia	178	142	118	83.1
orok1265	Orok	Tungusic	Eurasia	151	124	103	83.06
dizi1235	Dizin	Dizoid	Africa	57	53	44	83.02
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	100	83	83
yaey1239	Yaeyama	Japonic	Eurasia	155	129	107	82.95
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	139	115	82.73
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	139	115	82.73
turk1304	Turkmen	Turkic	Eurasia	181	144	119	82.64
tara1313	Tarao	Sino-Tibetan	Eurasia	166	138	114	82.61
shor1247	Shor	Turkic	Eurasia	175	143	118	82.52
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	120	99	82.5
bang1369	Bangru	Sino-Tibetan	Eurasia	151	125	103	82.4
even1260	Even	Tungusic	Eurasia	141	113	93	82.3
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	141	116	82.27
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	124	102	82.26
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	101	83	82.18
pano1255	Panobo	Pano-Tacanan	South America	163	129	106	82.17
opat1246	Teguima	Uto-Aztecan	North America	120	95	78	82.11
niha1238	Nihali		Eurasia	164	134	110	82.09
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	67	55	82.09
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	128	105	82.03
garo1247	Garo	Sino-Tibetan	Eurasia	164	133	109	81.95
nucl1301	Turkish	Turkic	Eurasia	195	155	127	81.94
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	155	127	81.94
etru1241	Etruscan		Eurasia	130	105	86	81.9
nort2697	North Azerbaijani	Turkic	Eurasia	188	148	121	81.76
chep1245	Chepang	Sino-Tibetan	Eurasia	163	137	112	81.75
gata1239	Gata'	Austroasiatic	Eurasia	156	126	103	81.75
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	142	116	81.69
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	120	98	81.67
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	120	98	81.67
koda1255	Kodava	Dravidian	Eurasia	182	147	120	81.63
marg1253	Margany	Pama-Nyungan	Australia	144	118	96	81.36
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	134	109	81.34
kara1499	Kalamang	West Bomberai	Papunesia	99	91	74	81.32
pitt1247	Pitta Pitta	Pama-Nyungan	Australia	160	133	108	81.2
chuv1255	Chuvash	Turkic	Eurasia	193	154	125	81.17
tata1255	Tatar	Turkic	Eurasia	176	143	116	81.12
bada1257	Badaga	Dravidian	Eurasia	127	111	90	81.08
korr1238	Korra Koraga	Dravidian	Eurasia	133	111	90	81.08
pawa1255	Pawaia		Papunesia	110	100	81	81
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	142	115	80.99
turk1303	Turkic Khalaj	Turkic	Eurasia	171	142	115	80.99
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	147	119	80.95
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	147	119	80.95
shol1240	Sholaga	Dravidian	Eurasia	172	141	114	80.85
idum1241	Idu	Sino-Tibetan	Eurasia	151	125	101	80.8
chak1270	Chak	Sino-Tibetan	Eurasia	188	151	122	80.79
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	145	117	80.69
bezh1248	Bezhta	Nakh-Daghestanian	Eurasia	158	124	100	80.65
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	129	104	80.62
sunw1242	Sunwar	Sino-Tibetan	Eurasia	174	139	112	80.58
poya1241	Poyanáwa	Pano-Tacanan	South America	50	46	37	80.43
nara1262	Nara		Africa	132	107	86	80.37
wira1265	Wirangu	Pama-Nyungan	Australia	66	56	45	80.36
kuma1280	Kuman	Nuclear Trans New Guinea	Papunesia	153	127	102	80.31
west2392	Western Mari	Uralic	Eurasia	153	127	102	80.31
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	127	102	80.31
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	111	89	80.18
cent2126	Central Okinawan	Japonic	Eurasia	153	126	101	80.16
honi1244	Honi	Sino-Tibetan	Eurasia	165	136	109	80.15
siri1273	Sirionó	Tupian	South America	169	136	109	80.15
chen1255	Chenchu	Dravidian	Eurasia	180	146	117	80.14
dhim1246	Dhimal	Sino-Tibetan	Eurasia	185	151	121	80.13
