Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	7	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
ilaa1246	Ila	Atlantic-Congo	Africa	124	115	108	93.91
dual1243	Duala	Atlantic-Congo	Africa	138	124	114	91.94
tien1242	Tiene	Atlantic-Congo	Africa	126	112	102	91.07
gusi1247	Gusii	Atlantic-Congo	Africa	173	144	131	90.97
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	119	108	90.76
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	134	121	90.3
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	103	93	90.29
ndob1238	Ndobo	Atlantic-Congo	Africa	85	79	71	89.87
bank1256	Bankon	Atlantic-Congo	Africa	78	69	62	89.86
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	141	126	89.36
here1253	Herero	Atlantic-Congo	Africa	187	158	141	89.24
luya1241	Luyi	Atlantic-Congo	Africa	172	148	132	89.19
mako1251	Makonde	Atlantic-Congo	Africa	164	138	123	89.13
konz1239	Konzo	Atlantic-Congo	Africa	133	119	106	89.08
kala1384	Kalanga	Atlantic-Congo	Africa	164	143	127	88.81
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	134	119	88.81
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	151	134	88.74
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	148	131	88.51
koti1238	Koti	Atlantic-Congo	Africa	182	154	136	88.31
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	102	90	88.24
yasa1242	Yasa	Atlantic-Congo	Africa	101	93	82	88.17
bebe1248	Bebele	Atlantic-Congo	Africa	184	155	136	87.74
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	155	136	87.74
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	114	100	87.72
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	135	118	87.41
maka1304	Makaa	Atlantic-Congo	Africa	159	135	118	87.41
hehe1240	Hehe	Atlantic-Congo	Africa	144	134	117	87.31
bush1247	Bushoong	Atlantic-Congo	Africa	184	157	137	87.26
noon1243	Noone	Atlantic-Congo	Africa	172	149	130	87.25
yaoo1241	Yao	Atlantic-Congo	Africa	137	125	109	87.2
lund1266	Lunda	Atlantic-Congo	Africa	150	132	115	87.12
mwan1247	Mwani	Atlantic-Congo	Africa	157	132	115	87.12
liki1240	Balobo	Atlantic-Congo	Africa	99	93	81	87.1
loba1239	Lobala	Atlantic-Congo	Africa	98	93	81	87.1
nyor1246	Nyoro	Atlantic-Congo	Africa	180	154	134	87.01
makh1264	Makhuwa	Atlantic-Congo	Africa	168	145	126	86.9
elip1238	Elip	Atlantic-Congo	Africa	111	99	86	86.87
tote1238	Totela	Atlantic-Congo	Africa	161	137	119	86.86
suba1238	Suba	Atlantic-Congo	Africa	111	106	92	86.79
cori1240	Cori	Atlantic-Congo	Africa	139	121	105	86.78
belu1239	Belueli	Atlantic-Congo	Africa	73	68	59	86.76
thar1283	Tharaka	Atlantic-Congo	Africa	101	98	85	86.73
nyan1307	Nyankole	Atlantic-Congo	Africa	185	158	137	86.71
lito1235	Litoka	Atlantic-Congo	Africa	97	90	78	86.67
tuki1240	Tuki	Atlantic-Congo	Africa	160	134	116	86.57
bolo1262	Boloki	Atlantic-Congo	Africa	144	126	109	86.51
tswa1253	Tswana	Atlantic-Congo	Africa	178	154	133	86.36
osam1235	Osamayi	Atlantic-Congo	Africa	105	95	82	86.32
