Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	8	100
suba1238	Suba	Atlantic-Congo	Africa	111	106	101	95.28
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	122	114	93.44
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	80	74	92.5
konz1239	Konzo	Atlantic-Congo	Africa	133	129	119	92.25
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	150	138	92
bush1247	Bushoong	Atlantic-Congo	Africa	184	153	140	91.5
hehe1240	Hehe	Atlantic-Congo	Africa	144	125	114	91.2
here1253	Herero	Atlantic-Congo	Africa	187	157	143	91.08
yaoo1241	Yao	Atlantic-Congo	Africa	137	122	111	90.98
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	132	120	90.91
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	141	128	90.78
luya1241	Luyi	Atlantic-Congo	Africa	172	150	136	90.67
thar1283	Tharaka	Atlantic-Congo	Africa	101	83	75	90.36
kala1384	Kalanga	Atlantic-Congo	Africa	164	142	128	90.14
sham1280	Shambala	Atlantic-Congo	Africa	118	111	100	90.09
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
soli1239	Soli	Atlantic-Congo	Africa	101	89	80	89.89
gwen1239	Gweno	Atlantic-Congo	Africa	135	118	106	89.83
nyor1246	Nyoro	Atlantic-Congo	Africa	180	155	139	89.68
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	124	111	89.52
pang1287	Pangwa	Atlantic-Congo	Africa	167	141	126	89.36
nyan1307	Nyankole	Atlantic-Congo	Africa	185	157	140	89.17
zinz1238	Zinza	Atlantic-Congo	Africa	106	91	81	89.01
tote1238	Totela	Atlantic-Congo	Africa	161	145	129	88.97
belu1239	Belueli	Atlantic-Congo	Africa	73	71	63	88.73
osam1235	Osamayi	Atlantic-Congo	Africa	105	97	86	88.66
ndob1238	Ndobo	Atlantic-Congo	Africa	85	77	68	88.31
libi1244	Libinza	Atlantic-Congo	Africa	134	117	103	88.03
kaon1241	Kaonde	Atlantic-Congo	Africa	120	100	88	88
gusi1247	Gusii	Atlantic-Congo	Africa	173	141	124	87.94
yasa1242	Yasa	Atlantic-Congo	Africa	101	91	80	87.91
bond1247	Bondei	Atlantic-Congo	Africa	151	124	109	87.9
lito1235	Litoka	Atlantic-Congo	Africa	97	90	79	87.78
