Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
yoku1256	Northern Yokuts	Yokutsan	North America	173	153	130	84.97
mono1275	Mono (USA)	Uto-Aztecan	North America	161	149	125	83.89
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	104	87	83.65
hrus1242	Hruso		Eurasia	89	84	70	83.33
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	107	89	83.18
etru1241	Etruscan		Eurasia	130	118	98	83.05
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	29	24	82.76
wanm1242	Wanman	Pama-Nyungan	Australia	132	125	103	82.4
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	140	115	82.14
sout2912	Coastal-Virac Bikol	Austronesian	Papunesia	128	117	96	82.05
mayk1239	Maykulan	Pama-Nyungan	Australia	152	139	114	82.01
bada1257	Badaga	Dravidian	Eurasia	127	114	93	81.58
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	141	115	81.56
orok1265	Orok	Tungusic	Eurasia	151	135	110	81.48
wadj1254	Wadjiginy		Australia	141	129	105	81.4
tuvi1240	Tuvinian	Turkic	Eurasia	154	138	112	81.16
achu1247	Achumawi	Palaihnihan	North America	106	100	81	81
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	83	67	80.72
cent2090	Central Tagbanwa	Austronesian	Papunesia	166	150	121	80.67
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	160	129	80.62
atam1239	Atampaya	Pama-Nyungan	Australia	87	82	66	80.49
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	133	107	80.45
kaur1267	Kaurna	Pama-Nyungan	Australia	48	46	37	80.43
marg1253	Margany	Pama-Nyungan	Australia	144	132	106	80.3
naru1238	Narungga	Pama-Nyungan	Australia	106	101	81	80.2
moch1259	Mochica		South America	139	126	101	80.16
muru1266	Muruwari	Pama-Nyungan	Australia	157	141	113	80.14
nhan1238	Nhanda	Pama-Nyungan	Australia	163	146	117	80.14
asur1254	Asuri	Austroasiatic	Eurasia	149	135	108	80
dizi1235	Dizin	Dizoid	Africa	57	55	44	80
nezp1238	Nez Perce	Sahaptian	North America	176	154	123	79.87
muth1236	Muthuvan	Dravidian	Eurasia	143	129	103	79.84
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	94	75	79.79
kony1248	Konyak Naga	Sino-Tibetan	Eurasia	175	158	126	79.75
tong1329	Tongva	Uto-Aztecan	North America	162	143	114	79.72
limb1266	Limbu	Sino-Tibetan	Eurasia	140	122	97	79.51
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	117	93	79.49
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	121	96	79.34
nyig1240	Nyigina	Nyulnyulan	Australia	128	116	92	79.31
bula1255	Bularnu	Pama-Nyungan	Australia	114	111	88	79.28
nort2954	Northern Paiute	Uto-Aztecan	North America	184	164	130	79.27
umes1235	Ume Saami	Uralic	Eurasia	183	164	130	79.27
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	53	42	79.25
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	130	103	79.23
waga1260	Wagaya	Pama-Nyungan	Australia	134	125	99	79.2
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	139	110	79.14
kuku1273	Kuku-Yalanji	Pama-Nyungan	Australia	184	163	129	79.14
biri1256	Biri	Pama-Nyungan	Australia	146	134	106	79.1
tuba1278	Tübatulabal	Uto-Aztecan	North America	152	134	106	79.1
mala1463	Malavedan	Dravidian	Eurasia	163	148	117	79.05
lotu1250	Lotud	Austronesian	Papunesia	132	123	97	78.86
lese1243	Lese	Central Sudanic	Africa	150	136	107	78.68
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	131	103	78.63
yind1247	Yindjibarndi	Pama-Nyungan	Australia	174	159	125	78.62
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	163	128	78.53
korr1238	Korra Koraga	Dravidian	Eurasia	133	121	95	78.51
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	79	62	78.48
isin1239	Isinai	Austronesian	Papunesia	152	139	109	78.42
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	125	98	78.4
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	148	116	78.38
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	152	119	78.29
sunw1242	Sunwar	Sino-Tibetan	Eurasia	174	152	119	78.29
awap1236	Awa (Papua New Guinea)	Nuclear Trans New Guinea	Papunesia	136	124	97	78.23
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	165	129	78.18
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	55	43	78.18
eude1234	Eudeve	Uto-Aztecan	North America	153	137	107	78.1
mama1275	Mamanwa	Austronesian	Papunesia	149	137	107	78.1
defa1248	Defaka	Ijoid	Africa	75	73	57	78.08
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	155	121	78.06
kina1250	Kinaray-a	Austronesian	Papunesia	143	132	103	78.03
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	141	110	78.01
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	150	117	78
pitt1247	Pitta Pitta	Pama-Nyungan	Australia	160	150	117	78
nara1262	Nara		Africa	132	118	92	77.97
kara1499	Kalamang	West Bomberai	Papunesia	99	95	74	77.89
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	95	74	77.89
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	149	116	77.85
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	117	91	77.78
kada1242	Kadar	Dravidian	Eurasia	156	144	112	77.78
kele1259	Keley-i Kallahan	Austronesian	Papunesia	170	153	119	77.78
skol1241	Skolt Saami	Uralic	Eurasia	192	171	133	77.78
boto1242	Botolan Sambal	Austronesian	Papunesia	175	157	122	77.71
mara1404	Maranao	Austronesian	Papunesia	128	121	94	77.69
magu1243	Maguindanao	Austronesian	Papunesia	129	116	90	77.59
mill1237	Millcayac	Huarpean	South America	122	116	90	77.59
garo1247	Garo	Sino-Tibetan	Eurasia	164	151	117	77.48
yayg1236	Yaygir	Pama-Nyungan	Australia	154	142	110	77.46
mart1255	Martuthunira	Pama-Nyungan	Australia	184	164	127	77.44
pany1241	Panytyima	Pama-Nyungan	Australia	171	155	120	77.42
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	155	120	77.42
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	115	89	77.39
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	53	41	77.36
