Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
suru1262	Suruí	Tupian	South America	18	17	16	94.12
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	71	62	87.32
tepe1278	Tepecano	Uto-Aztecan	North America	121	106	91	85.85
mbya1239	Mbyá Guaraní	Tupian	South America	161	138	117	84.78
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	96	81	84.38
guri1248	Guriaso		Papunesia	24	19	16	84.21
para1311	Paraguayan Guaraní	Tupian	South America	54	44	37	84.09
nyun1247	Nyunga	Pama-Nyungan	Australia	26	25	21	84
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
waim1253	Waimiri-Atroari	Cariban	South America	127	110	91	82.73
yukp1241	Yukpa	Cariban	South America	106	98	81	82.65
omii1238	Omi	Central Sudanic	Africa	18	17	14	82.35
coah1252	Coahuilteco		North America	129	111	91	81.98
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
umot1240	Umotína	Bororoan	South America	73	65	53	81.54
coch1272	Cochimi	Cochimi-Yuman	North America	89	80	65	81.25
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	106	86	81.13
suru1261	Suruí Do Pará	Tupian	South America	68	63	51	80.95
twan1247	Twana	Salishan	North America	87	82	66	80.49
male1297	Maléku Jaíka	Chibchan	North America	188	158	127	80.38
saki1248	Mekens	Tupian	South America	139	122	98	80.33
kren1239	Krenak	Nuclear-Macro-Je	South America	111	96	77	80.21
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	115	92	80
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	10	8	80
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	68	54	79.41
siri1273	Sirionó	Tupian	South America	169	144	114	79.17
yuqu1240	Yuqui	Tupian	South America	153	134	106	79.1
gaaa1245	Gaa	Atlantic-Congo	Africa	79	71	56	78.87
west2615	Western Apache	Athabaskan-Eyak-Tlingit	North America	164	135	106	78.52
cofa1242	Cofán		South America	137	119	93	78.15
shua1257	Shuar	Chicham	South America	147	127	99	77.95
ruka1240	Rukai	Austronesian	Papunesia	191	163	127	77.91
ndom1245	Ndom	Kolopom	Papunesia	74	63	49	77.78
haka1240	Haka Chin	Sino-Tibetan	Eurasia	170	146	113	77.4
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	53	41	77.36
nade1244	Nadëb	Naduhup	South America	64	53	41	77.36
cani1243	Canichana		South America	50	44	34	77.27
taus1253	Taushiro		South America	150	132	102	77.27
puqu1242	Puquina		South America	118	101	78	77.23
hava1248	Havasupai-Walapai-Yavapai	Cochimi-Yuman	North America	165	139	107	76.98
mund1330	Mundurukú	Tupian	South America	161	139	107	76.98
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	152	117	76.97
high1243	Highland Totonac	Totonacan	North America	120	104	80	76.92
pawa1255	Pawaia		Papunesia	110	91	70	76.92
ware1255	Warekena do San Miguel	Arawakan	South America	131	117	90	76.92
chey1247	Cheyenne	Algic	North America	139	125	96	76.8
moch1257	Mocho	Mayan	North America	163	137	105	76.64
high1276	Highland Popoluca	Mixe-Zoque	North America	186	158	121	76.58
huar1255	Huarijio	Uto-Aztecan	North America	181	153	117	76.47
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	119	91	76.47
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	161	123	76.4
meke1243	Mekeo	Austronesian	Papunesia	192	161	123	76.4
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	144	110	76.39
esse1238	Esselen		North America	110	93	71	76.34
mono1273	Mono-Alu	Austronesian	Papunesia	111	93	71	76.34
olut1240	Oluta Popoluca	Mixe-Zoque	North America	180	152	116	76.32
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	80	61	76.25
lusi1240	Lusi	Austronesian	Papunesia	144	122	93	76.23
cusc1236	Cusco Quechua	Quechuan	South America	167	143	109	76.22
assi1247	Assiniboine	Siouan	North America	185	155	118	76.13
guat1253	Guató		South America	127	113	86	76.11
saba1268	Sabanê	Nambiquaran	South America	169	138	105	76.09
cogu1240	Cogui	Chibchan	South America	141	121	92	76.03
kala1400	Central Kalapuya	Kalapuyan	North America	139	121	92	76.03
pech1241	Pech	Chibchan	North America	144	125	95	76
cree1270	Creek	Muskogean	North America	185	158	120	75.95
nava1243	Navajo	Athabaskan-Eyak-Tlingit	North America	185	157	119	75.8
mala1522	Malayo	Chibchan	South America	157	136	103	75.74
agua1253	Aguaruna	Chicham	South America	170	144	109	75.69
bada1257	Badaga	Dravidian	Eurasia	127	111	84	75.68
aika1237	Aikanã		South America	90	82	62	75.61
pait1244	Paite Chin	Sino-Tibetan	Eurasia	152	131	99	75.57
motu1246	Motu	Austronesian	Papunesia	160	135	102	75.56
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	45	34	75.56
ayac1239	Ayacucho Quechua	Quechuan	South America	166	139	105	75.54
guam1248	Guambiano	Barbacoan	South America	127	110	83	75.45
papa1238	Papantla Totonac	Totonacan	North America	128	114	86	75.44
koir1240	Koireng	Sino-Tibetan	Eurasia	155	134	101	75.37
miam1252	Miami	Algic	North America	120	105	79	75.24
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	129	97	75.19
ando1256	Andoque		South America	38	32	24	75
kara1476	Karadjeri	Pama-Nyungan	Australia	67	56	42	75
pagu1249	Pagu	North Halmahera	Papunesia	153	132	99	75
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	80	60	75
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	151	113	74.83
mopa1243	Mopán Maya	Mayan	North America	166	139	104	74.82
obok1239	Obokuitai	Lakes Plain	Papunesia	157	131	98	74.81
abip1241	Abipon	Guaicuruan	South America	129	111	83	74.77
tekt1235	Tektiteko	Mayan	North America	170	142	106	74.65
chib1270	Chibcha	Chibchan	South America	148	130	97	74.62
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	114	85	74.56
mans1262	Mansaka	Austronesian	Papunesia	127	110	82	74.55
gily1242	Amur Nivkh	Nivkh	Eurasia	183	157	117	74.52
akun1241	Akuntsu	Tupian	South America	174	149	111	74.5
plai1258	Plains Cree	Algic	North America	174	145	108	74.48
wint1259	Wintu	Wintuan	North America	159	137	102	74.45
eude1234	Eudeve	Uto-Aztecan	North America	153	133	99	74.44
misi1243	Misima-Paneati	Austronesian	Papunesia	144	125	93	74.4
nort2951	Northwest Maidu	Maiduan	North America	142	125	93	74.4
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	121	90	74.38
crim1257	Crimean Tatar	Turkic	Eurasia	179	152	113	74.34
khak1248	Khakas	Turkic	Eurasia	170	144	107	74.31
karo1304	Karok		North America	164	140	104	74.29
siaw1243	Siawi	Amto-Musan	Papunesia	123	105	78	74.29
moyo1238	Moyon	Sino-Tibetan	Eurasia	167	143	106	74.13
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	85	63	74.12
chac1249	Cha'palaa	Barbacoan	South America	91	81	60	74.07
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	135	100	74.07
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	27	20	74.07
wood1236	Woods Cree	Algic	North America	162	135	100	74.07
