Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	56	49	87.5
kair1263	Kairiru	Austronesian	Papunesia	73	60	52	86.67
buna1276	Bunama	Austronesian	Papunesia	125	109	94	86.24
tean1237	Teanu	Austronesian	Papunesia	147	117	100	85.47
pawa1255	Pawaia		Papunesia	110	99	84	84.85
abad1241	Abadi	Austronesian	Papunesia	118	105	89	84.76
lala1268	Lala	Austronesian	Papunesia	187	142	120	84.51
ndom1245	Ndom	Kolopom	Papunesia	74	71	60	84.51
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	71	60	84.51
bolg1251	Bolgo	Atlantic-Congo	Africa	78	76	64	84.21
iama1237	Iamalele	Austronesian	Papunesia	107	95	80	84.21
aree1239	Are	Austronesian	Papunesia	157	126	106	84.13
kolu1245	Koluwawa	Austronesian	Papunesia	163	131	110	83.97
waim1251	Waima	Austronesian	Papunesia	186	148	124	83.78
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	123	103	83.74
kren1239	Krenak	Nuclear-Macro-Je	South America	111	97	81	83.51
vano1237	Lovono	Austronesian	Papunesia	146	115	96	83.48
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
karn1252	Karnai	Austronesian	Papunesia	142	120	100	83.33
wira1265	Wirangu	Pama-Nyungan	Australia	66	54	45	83.33
lamo1244	Lamogai	Austronesian	Papunesia	135	112	93	83.04
sout2896	Eastern Atadei	Austronesian	Papunesia	116	106	88	83.02
gung1248	Gungabula	Pama-Nyungan	Australia	44	35	29	82.86
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	116	96	82.76
nucl1632	Sentani	Sentanic	Papunesia	143	127	105	82.68
tane1237	Tanema	Austronesian	Papunesia	154	121	100	82.64
mapo1242	Mapos Buang	Austronesian	Papunesia	173	138	114	82.61
buga1250	Bugawac	Austronesian	Papunesia	191	149	123	82.55
lote1237	Lote	Austronesian	Papunesia	178	137	113	82.48
motu1246	Motu	Austronesian	Papunesia	160	125	103	82.4
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	136	112	82.35
hote1245	Hote	Austronesian	Papunesia	162	130	107	82.31
kaba1281	Kaba	Central Sudanic	Africa	166	128	105	82.03
muso1238	Musom	Austronesian	Papunesia	150	127	104	81.89
mans1260	Mansim	Hatam-Mansim	Papunesia	71	66	54	81.82
midd1327	Middle Watut	Austronesian	Papunesia	140	121	99	81.82
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	115	94	81.74
adze1240	Adzera	Austronesian	Papunesia	158	120	98	81.67
avok1242	Avokaya	Central Sudanic	Africa	122	98	80	81.63
iwal1237	Iwal	Austronesian	Papunesia	134	113	92	81.42
lewo1244	Lewotobi	Austronesian	Papunesia	189	144	117	81.25
mang1404	Mangga Buang	Austronesian	Papunesia	125	112	91	81.25
kima1246	Kimaama	Kolopom	Papunesia	92	85	69	81.18
akei1237	Akei	Austronesian	Papunesia	122	106	86	81.13
jiba1237	Jiba	Atlantic-Congo	Africa	120	106	86	81.13
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	116	94	81.03
adon1237	Adonara	Austronesian	Papunesia	165	137	111	81.02
apma1241	Ap Ma	Keram	Papunesia	126	105	85	80.95
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	110	89	80.91
nort2864	Wemale	Austronesian	Papunesia	76	68	55	80.88
waja1257	Wajarri	Pama-Nyungan	Australia	65	47	38	80.85
chib1270	Chibcha	Chibchan	South America	148	120	97	80.83
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	125	101	80.8
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	109	88	80.73
nati1244	Nati	Austronesian	Papunesia	127	109	88	80.73
maxa1247	Maxakalí	Nuclear-Macro-Je	South America	181	139	112	80.58
east2440	East Makian	Austronesian	Papunesia	95	77	62	80.52
labu1248	Labu	Austronesian	Papunesia	154	128	103	80.47
alor1247	Alorese	Austronesian	Papunesia	168	133	107	80.45
maee1241	Tirax	Austronesian	Papunesia	188	143	115	80.42
