Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	130	114	87.69
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
kala1384	Kalanga	Atlantic-Congo	Africa	164	134	117	87.31
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	115	100	86.96
jita1239	Jita	Atlantic-Congo	Africa	75	61	53	86.89
suku1261	Sukuma	Atlantic-Congo	Africa	128	112	97	86.61
dibo1245	Dibole	Atlantic-Congo	Africa	124	111	96	86.49
suba1238	Suba	Atlantic-Congo	Africa	111	96	83	86.46
safw1238	Safwa	Atlantic-Congo	Africa	48	44	38	86.36
lamb1272	Lambya	Atlantic-Congo	Africa	132	117	101	86.32
konz1239	Konzo	Atlantic-Congo	Africa	133	115	99	86.09
tote1238	Totela	Atlantic-Congo	Africa	161	128	110	85.94
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	141	121	85.82
pang1287	Pangwa	Atlantic-Congo	Africa	167	140	120	85.71
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	84	72	85.71
ndob1238	Ndobo	Atlantic-Congo	Africa	85	76	65	85.53
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	124	106	85.48
nyor1246	Nyoro	Atlantic-Congo	Africa	180	144	123	85.42
yasa1242	Yasa	Atlantic-Congo	Africa	101	89	76	85.39
hehe1240	Hehe	Atlantic-Congo	Africa	144	130	111	85.38
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	136	116	85.29
loba1239	Lobala	Atlantic-Congo	Africa	98	86	73	84.88
gwen1239	Gweno	Atlantic-Congo	Africa	135	112	95	84.82
lund1266	Lunda	Atlantic-Congo	Africa	150	116	98	84.48
here1253	Herero	Atlantic-Congo	Africa	187	148	125	84.46
