Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	56	49	87.5
yinc1238	Yinchia	Austroasiatic	Eurasia	65	65	54	83.08
tane1237	Tanema	Austronesian	Papunesia	154	152	125	82.24
bara1370	Baram Kayan	Austronesian	Papunesia	143	139	114	82.01
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
labo1244	Ninde	Austronesian	Papunesia	122	121	99	81.82
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	82	67	81.71
monn1252	Mon	Austroasiatic	Eurasia	91	90	73	81.11
tera1251	Tera	Afro-Asiatic	Africa	152	148	120	81.08
tang1347	Movono	Austronesian	Papunesia	159	156	126	80.77
weda1241	Wedau	Austronesian	Papunesia	115	114	92	80.7
vano1237	Lovono	Austronesian	Papunesia	146	144	116	80.56
labu1248	Labu	Austronesian	Papunesia	154	148	119	80.41
tomb1244	Tombonuo	Austronesian	Papunesia	136	132	106	80.3
lamo1244	Lamogai	Austronesian	Papunesia	135	131	105	80.15
adze1240	Adzera	Austronesian	Papunesia	158	151	121	80.13
leme1238	Lemerig	Austronesian	Papunesia	164	156	125	80.13
alor1247	Alorese	Austronesian	Papunesia	168	160	128	80
ngul1236	Nguluwan	Austronesian	Papunesia	56	55	44	80
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	140	112	80
pate1247	Patep	Austronesian	Papunesia	142	135	108	80
tutu1241	Tutuba	Austronesian	Papunesia	184	175	140	80
sobe1238	Sobei	Austronesian	Papunesia	130	129	103	79.84
lave1248	Laven	Austroasiatic	Eurasia	180	173	138	79.77
rung1259	Rungus	Austronesian	Papunesia	137	133	106	79.7
lund1271	Lundayeh	Austronesian	Papunesia	141	137	109	79.56
iwal1237	Iwal	Austronesian	Papunesia	134	132	105	79.55
blab1237	Blablanga	Austronesian	Papunesia	169	161	128	79.5
kupa1239	Kupang Malay	Austronesian	Papunesia	168	161	128	79.5
hala1252	Halang	Austroasiatic	Eurasia	82	78	62	79.49
lach1248	Lachi	Tai-Kadai	Eurasia	167	160	127	79.38
tean1237	Teanu	Austronesian	Papunesia	147	145	115	79.31
sioo1240	Sio	Austronesian	Papunesia	175	169	134	79.29
tiga1245	Tigak	Austronesian	Papunesia	171	164	130	79.27
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	110	87	79.09
piji1239	Pijin	Indo-European	Papunesia	154	148	117	79.05
buga1247	Bugan	Austroasiatic	Eurasia	190	181	143	79.01
tali1259	Talise	Austronesian	Papunesia	142	138	109	78.99
maan1238	Ma'anyan	Austronesian	Papunesia	163	157	124	78.98
phai1238	Prai	Austroasiatic	Eurasia	186	176	139	78.98
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	133	105	78.95
naro1251	Narom	Austronesian	Papunesia	132	128	101	78.91
wala1266	Wala	Austronesian	Papunesia	150	147	116	78.91
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	141	111	78.72
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	150	118	78.67
obok1239	Obokuitai	Lakes Plain	Papunesia	157	150	118	78.67
oroh1237	Oroha	Austronesian	Papunesia	118	117	92	78.63
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	140	110	78.57
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	130	102	78.46
west2397	Western Bru	Austroasiatic	Eurasia	157	153	120	78.43
lara1260	Larantuka Malay	Austronesian	Papunesia	169	162	127	78.4
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	162	127	78.4
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	148	116	78.38
anuf1239	Anufo	Atlantic-Congo	Africa	162	157	123	78.34
arop1243	Arop-Lokep	Austronesian	Papunesia	161	157	123	78.34
waim1252	Waima'a	Austronesian	Papunesia	144	143	112	78.32
oldm1242	Old Mon	Austroasiatic	Eurasia	171	166	130	78.31
iama1237	Iamalele	Austronesian	Papunesia	107	106	83	78.3
mato1252	Mato	Austronesian	Papunesia	169	161	126	78.26
bong1289	Bonggi	Austronesian	Papunesia	150	147	115	78.23
tolo1255	Tolomako	Austronesian	Papunesia	120	119	93	78.15
cari1276	Caribbean Javanese	Austronesian	South America	97	96	75	78.12
east2332	Eastern Bru	Austroasiatic	Eurasia	134	128	100	78.12
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	128	100	78.12
belu1239	Belueli	Atlantic-Congo	Africa	73	73	57	78.08
bobo1255	Bobongko	Austronesian	Papunesia	73	73	57	78.08
bwai1242	Bwaidoka	Austronesian	Papunesia	153	146	114	78.08
mund1326	Mündü	Atlantic-Congo	Africa	120	114	89	78.07
bala1311	Balangingi	Austronesian	Papunesia	153	150	117	78
gapa1238	Gapapaiwa	Austronesian	Papunesia	157	154	120	77.92
bant1288	Bantoanon	Austronesian	Papunesia	124	122	95	77.87
misi1243	Misima-Paneati	Austronesian	Papunesia	144	140	109	77.86
kuan1248	Kuanua	Austronesian	Papunesia	174	167	130	77.84
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	135	105	77.78
seda1262	Sedang	Austroasiatic	Eurasia	178	171	133	77.78
kana1286	Kanakanavu	Austronesian	Papunesia	147	139	108	77.7
fonn1241	Fon	Atlantic-Congo	Africa	189	179	139	77.65
iban1264	Iban	Austronesian	Papunesia	188	179	139	77.65
uuuu1243	U	Austroasiatic	Eurasia	139	134	104	77.61
naue1237	Nauete	Austronesian	Papunesia	183	174	135	77.59
lusi1240	Lusi	Austronesian	Papunesia	144	138	107	77.54
kuyy1240	Kuy	Austroasiatic	Eurasia	174	169	131	77.51
basa1282	Basa (Nigeria)	Atlantic-Congo	Africa	115	111	86	77.48
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	133	103	77.44
lame1260	Lamenu	Austronesian	Papunesia	126	124	96	77.42
keoo1238	Kéo	Austronesian	Papunesia	187	177	137	77.4
mera1242	Meramera	Austronesian	Papunesia	54	53	41	77.36
vera1241	Vera'a	Austronesian	Papunesia	191	181	140	77.35
akei1237	Akei	Austronesian	Papunesia	122	119	92	77.31
keng1240	Kenga	Central Sudanic	Africa	124	119	92	77.31
mani1235	Sougb	East Bird's Head	Papunesia	122	119	92	77.31
