Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
sout2782	South Fali	Atlantic-Congo	Africa	177	173	144	83.24
molo1266	Moloko	Afro-Asiatic	Africa	109	106	88	83.02
mara1399	Maragus	Austronesian	Papunesia	174	168	138	82.14
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	86	70	81.4
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	13	81.25
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	43	81.13
east1236	Eastern Katu	Austroasiatic	Eurasia	106	104	84	80.77
west2650	Western Cham	Austronesian	Eurasia	151	144	116	80.56
kaul1240	Kaulong	Austronesian	Papunesia	90	87	70	80.46
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	131	105	80.15
yako1252	Yakoma	Atlantic-Congo	Africa	143	136	109	80.15
bara1370	Baram Kayan	Austronesian	Papunesia	143	141	113	80.14
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	155	124	80
labo1244	Ninde	Austronesian	Papunesia	122	120	96	80
piji1239	Pijin	Indo-European	Papunesia	154	150	120	80
haro1237	Haroi	Austronesian	Eurasia	95	89	71	79.78
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	64	51	79.69
paam1238	Paama	Austronesian	Papunesia	117	113	90	79.65
malu1245	Malua Bay	Austronesian	Papunesia	173	167	133	79.64
gbay1278	Gbayi	Atlantic-Congo	Africa	58	58	46	79.31
oroh1237	Oroha	Austronesian	Papunesia	118	116	92	79.31
litz1237	Naman	Austronesian	Papunesia	185	178	141	79.21
mbar1260	Mbara (Chad)	Afro-Asiatic	Africa	157	153	121	79.08
mota1237	Mota	Austronesian	Papunesia	107	105	83	79.05
reng1252	Rengao	Austroasiatic	Eurasia	172	167	132	79.04
monn1252	Mon	Austroasiatic	Eurasia	91	90	71	78.89
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	142	112	78.87
bign1238	Big Nambas	Austronesian	Papunesia	181	175	138	78.86
unea1237	Uneapa	Austronesian	Papunesia	87	85	67	78.82
nese1235	Nese	Austronesian	Papunesia	191	184	145	78.8
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	165	130	78.79
nort3047	North Giziga	Afro-Asiatic	Africa	176	169	133	78.7
maee1241	Tirax	Austronesian	Papunesia	188	181	142	78.45
emae1237	Emae	Austronesian	Papunesia	156	153	120	78.43
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	153	120	78.43
neng1238	Nengone	Austronesian	Papunesia	169	162	127	78.4
tera1251	Tera	Afro-Asiatic	Africa	152	148	116	78.38
gaan1243	Ga'anda	Afro-Asiatic	Africa	140	138	108	78.26
rere1240	Rerep	Austronesian	Papunesia	147	142	111	78.17
kimm1246	Kim	Atlantic-Congo	Africa	129	128	100	78.12
bong1289	Bonggi	Austronesian	Papunesia	150	146	114	78.08
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	114	89	78.07
jeha1242	Jehai	Austroasiatic	Eurasia	162	158	123	77.85
nort2839	North Ambrym	Austronesian	Papunesia	174	167	130	77.84
samb1305	Samba Leko	Atlantic-Congo	Africa	172	167	130	77.84
unua1237	Unua	Austronesian	Papunesia	192	185	144	77.84
lauu1247	Lau	Austronesian	Papunesia	141	135	105	77.78
ngam1268	Ngambay	Central Sudanic	Africa	156	153	119	77.78
ngul1236	Nguluwan	Austronesian	Papunesia	56	54	42	77.78
oldm1242	Old Mon	Austroasiatic	Eurasia	171	166	129	77.71
huba1236	Huba	Afro-Asiatic	Africa	151	148	115	77.7
kara1486	Kara (Papua New Guinea)	Austronesian	Papunesia	177	170	132	77.65
mpur1239	Mpur		Papunesia	185	179	139	77.65
baka1274	Baka (South Sudan)	Central Sudanic	Africa	137	134	104	77.61
malo1243	Tamambo	Austronesian	Papunesia	189	183	142	77.6
arak1252	Araki	Austronesian	Papunesia	194	187	145	77.54
aros1241	Arosi	Austronesian	Papunesia	141	138	107	77.54
