Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	10	100
tane1237	Tanema	Austronesian	Papunesia	154	145	143	98.62
tean1237	Teanu	Austronesian	Papunesia	147	137	134	97.81
mans1260	Mansim	Hatam-Mansim	Papunesia	71	65	61	93.85
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	14	13	92.86
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	132	120	90.91
labo1244	Ninde	Austronesian	Papunesia	122	109	99	90.83
lamo1244	Lamogai	Austronesian	Papunesia	135	114	103	90.35
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	128	115	89.84
lewo1244	Lewotobi	Austronesian	Papunesia	189	144	129	89.58
alor1247	Alorese	Austronesian	Papunesia	168	137	122	89.05
hote1245	Hote	Austronesian	Papunesia	162	126	112	88.89
midd1327	Middle Watut	Austronesian	Papunesia	140	117	104	88.89
tita1241	Titan	Austronesian	Papunesia	173	134	119	88.81
tuml1238	Tumleo	Austronesian	Papunesia	103	89	79	88.76
labu1248	Labu	Austronesian	Papunesia	154	130	115	88.46
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	117	103	88.03
uuuu1243	U	Austroasiatic	Eurasia	139	117	103	88.03
lave1249	Brao	Austroasiatic	Eurasia	122	99	87	87.88
akei1237	Akei	Austronesian	Papunesia	122	104	91	87.5
loni1238	Loniu	Austronesian	Papunesia	185	142	124	87.32
gese1240	Geser-Gorom	Austronesian	Papunesia	69	55	48	87.27
yinc1238	Yinchia	Austroasiatic	Eurasia	65	55	48	87.27
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	102	89	87.25
west2650	Western Cham	Austronesian	Eurasia	151	124	108	87.1
lach1248	Lachi	Tai-Kadai	Eurasia	167	131	114	87.02
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	123	107	86.99
kuyy1240	Kuy	Austroasiatic	Eurasia	174	138	120	86.96
woii1237	Woi	Austronesian	Papunesia	191	145	126	86.9
iliu1237	Ili'uun	Austronesian	Papunesia	168	137	119	86.86
malu1245	Malua Bay	Austronesian	Papunesia	173	136	118	86.76
phai1238	Prai	Austroasiatic	Eurasia	186	141	122	86.52
rade1240	Rade	Austronesian	Eurasia	167	126	109	86.51
kaba1281	Kaba	Central Sudanic	Africa	166	125	108	86.4
leme1238	Lemerig	Austronesian	Papunesia	164	132	114	86.36
jurm1239	Jur Modo	Central Sudanic	Africa	159	116	100	86.21
amar1272	Amara	Austronesian	Papunesia	148	121	104	85.95
keoo1238	Kéo	Austronesian	Papunesia	187	141	121	85.82
tutu1241	Tutuba	Austronesian	Papunesia	184	141	121	85.82
lote1237	Lote	Austronesian	Papunesia	178	140	120	85.71
lave1248	Laven	Austroasiatic	Eurasia	180	139	119	85.61
whit1269	Whitesands	Austronesian	Papunesia	167	139	119	85.61
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	145	124	85.52
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	131	112	85.5
mort1237	Mortlockese	Austronesian	Papunesia	141	117	100	85.47
ngam1268	Ngambay	Central Sudanic	Africa	156	116	99	85.34
mala1479	Colloquial Malay	Austronesian	Eurasia	153	122	104	85.25
adon1237	Adonara	Austronesian	Papunesia	165	135	115	85.19
anem1249	Anem		Papunesia	91	74	63	85.14
biha1246	Bih	Austronesian	Eurasia	182	140	119	85
adze1240	Adzera	Austronesian	Papunesia	158	126	107	84.92
west2397	Western Bru	Austroasiatic	Eurasia	157	126	107	84.92
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	53	45	84.91
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	45	84.91
