Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
west2650	Western Cham	Austronesian	Eurasia	151	109	98	89.91
east2563	Eastern Cham	Austronesian	Eurasia	92	64	57	89.06
bera1262	Berau Malay	Austronesian	Papunesia	11	9	8	88.89
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	70	62	88.57
biha1246	Bih	Austronesian	Eurasia	182	130	115	88.46
lave1249	Brao	Austroasiatic	Eurasia	122	92	81	88.04
alor1247	Alorese	Austronesian	Papunesia	168	123	108	87.8
reng1252	Rengao	Austroasiatic	Eurasia	172	122	107	87.7
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	140	122	87.14
bann1247	Bannoni	Austronesian	Papunesia	72	54	47	87.04
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	123	107	86.99
keoo1238	Kéo	Austronesian	Papunesia	187	134	116	86.57
hala1252	Halang	Austroasiatic	Eurasia	82	65	56	86.15
kupa1239	Kupang Malay	Austronesian	Papunesia	168	129	111	86.05
lach1248	Lachi	Tai-Kadai	Eurasia	167	127	109	85.83
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	7	6	85.71
kapi1249	Kapingamarangi	Austronesian	Papunesia	72	56	48	85.71
emae1237	Emae	Austronesian	Papunesia	156	117	100	85.47
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	55	47	85.45
waim1252	Waima'a	Austronesian	Papunesia	144	110	94	85.45
yinc1238	Yinchia	Austroasiatic	Eurasia	65	55	47	85.45
aoua1234	A'ou	Tai-Kadai	Eurasia	187	137	117	85.4
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	95	81	85.26
sooo1254	Sô	Austroasiatic	Eurasia	176	128	109	85.16
east2332	Eastern Bru	Austroasiatic	Eurasia	134	100	85	85
leme1238	Lemerig	Austronesian	Papunesia	164	120	102	85
shwe1236	Shwe Palaung	Austroasiatic	Eurasia	167	125	106	84.8
rade1240	Rade	Austronesian	Eurasia	167	124	105	84.68
paco1243	Pacoh	Austroasiatic	Eurasia	188	137	116	84.67
mlab1235	Mlabri	Austroasiatic	Eurasia	182	136	115	84.56
taku1257	Takuu	Austronesian	Papunesia	168	123	104	84.55
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	71	60	84.51
mamb1306	Mambae	Austronesian	Papunesia	169	129	109	84.5
vano1237	Lovono	Austronesian	Papunesia	146	109	92	84.4
oroh1237	Oroha	Austronesian	Papunesia	118	96	81	84.38
tane1237	Tanema	Austronesian	Papunesia	154	115	97	84.35
west2397	Western Bru	Austroasiatic	Eurasia	157	115	97	84.35
hlai1239	Hlai	Tai-Kadai	Eurasia	99	70	59	84.29
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	89	75	84.27
seda1262	Sedang	Austroasiatic	Eurasia	178	133	112	84.21
aheu1239	Thavung	Austroasiatic	Eurasia	192	139	117	84.17
java1254	Javanese	Austronesian	Papunesia	84	63	53	84.13
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	107	90	84.11
tali1259	Talise	Austronesian	Papunesia	142	107	90	84.11
uuuu1243	U	Austroasiatic	Eurasia	139	107	90	84.11
mokl1243	Moklen	Austronesian	Eurasia	181	132	111	84.09
tokp1240	Tok Pisin	Indo-European	Papunesia	184	132	111	84.09
naue1237	Nauete	Austronesian	Papunesia	183	131	110	83.97
phai1238	Prai	Austroasiatic	Eurasia	186	136	114	83.82
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	111	93	83.78
berb1259	Berbice Creole Dutch	Indo-European	South America	170	123	103	83.74
noku1237	Nokuku	Austronesian	Papunesia	156	123	103	83.74
chuu1238	Chuukese	Austronesian	Papunesia	132	104	87	83.65
hili1240	Hiligaynon	Austronesian	Papunesia	77	55	46	83.64
mang1378	Mang	Austroasiatic	Eurasia	158	122	102	83.61
tang1347	Movono	Austronesian	Papunesia	159	122	102	83.61
hung1275	Hung	Austroasiatic	Eurasia	142	109	91	83.49
anut1237	Anuta	Austronesian	Papunesia	153	115	96	83.48
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	127	106	83.46
buga1247	Bugan	Austroasiatic	Eurasia	190	139	116	83.45
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	139	116	83.45
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	30	25	83.33
huuu1240	Hu	Austroasiatic	Eurasia	175	132	110	83.33
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	48	40	83.33
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	132	110	83.33
wala1266	Wala	Austronesian	Papunesia	150	108	90	83.33
west2396	Western Lawa	Austroasiatic	Eurasia	190	138	115	83.33
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	131	109	83.21
kuyy1240	Kuy	Austroasiatic	Eurasia	174	125	104	83.2
chra1242	Chrau	Austroasiatic	Eurasia	166	119	99	83.19
dhao1237	Dhao	Austronesian	Papunesia	189	136	113	83.09
boly1239	Bolyu	Austroasiatic	Eurasia	166	124	103	83.06
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	59	49	83.05
azha1235	Azha	Sino-Tibetan	Eurasia	151	112	93	83.04
rere1240	Rerep	Austronesian	Papunesia	147	112	93	83.04
koho1244	Koho	Austroasiatic	Eurasia	182	135	112	82.96
shee1238	She	Hmong-Mien	Eurasia	162	123	102	82.93
piji1239	Pijin	Indo-European	Papunesia	154	117	97	82.91
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	140	116	82.86
east2485	Eastern Penan	Austronesian	Papunesia	147	105	87	82.86
laoo1244	Lao	Tai-Kadai	Eurasia	99	70	58	82.86
tsat1238	Tsat	Austronesian	Eurasia	183	134	111	82.84
mans1260	Mansim	Hatam-Mansim	Papunesia	71	58	48	82.76
molo1266	Moloko	Afro-Asiatic	Africa	109	87	72	82.76
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	139	115	82.73
tera1251	Tera	Afro-Asiatic	Africa	152	110	91	82.73
reja1241	Rejang Kayan	Austronesian	Papunesia	140	104	86	82.69
damp1237	Dampelas	Austronesian	Papunesia	159	115	95	82.61
limo1249	Limonese Creole	Indo-European	North America	143	109	90	82.57
kimm1246	Kim	Atlantic-Congo	Africa	129	103	85	82.52
pate1247	Patep	Austronesian	Papunesia	142	103	85	82.52
tomb1244	Tombonuo	Austronesian	Papunesia	136	103	85	82.52
lave1248	Laven	Austroasiatic	Eurasia	180	131	108	82.44
east2447	East Futuna	Austronesian	Papunesia	187	135	111	82.22
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	129	106	82.17
abun1252	Abun		Papunesia	195	140	115	82.14
arak1252	Araki	Austronesian	Papunesia	194	140	115	82.14
bara1370	Baram Kayan	Austronesian	Papunesia	143	112	92	82.14
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	123	101	82.11
lauu1247	Lau	Austronesian	Papunesia	141	106	87	82.08
jara1266	Jarai	Austronesian	Eurasia	156	117	96	82.05
tiga1245	Tigak	Austronesian	Papunesia	171	128	105	82.03
tean1237	Teanu	Austronesian	Papunesia	147	111	91	81.98
mala1479	Colloquial Malay	Austronesian	Eurasia	153	122	100	81.97
siar1238	Siar-Lak	Austronesian	Papunesia	87	61	50	81.97
manm1238	Man Met	Austroasiatic	Eurasia	150	116	95	81.9
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	11	9	81.82
tetu1246	Tetun Dili	Austronesian	Papunesia	183	132	108	81.82
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	137	112	81.75
dusn1237	Dusner	Austronesian	Papunesia	186	137	112	81.75
moke1242	Moken	Austronesian	Eurasia	171	126	103	81.75
nort2684	Northern Khmer	Austroasiatic	Eurasia	191	137	112	81.75
oldm1242	Old Mon	Austroasiatic	Eurasia	171	126	103	81.75
