Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
leme1238	Lemerig	Austronesian	Papunesia	164	163	151	92.64
ngul1236	Nguluwan	Austronesian	Papunesia	56	56	51	91.07
labo1244	Ninde	Austronesian	Papunesia	122	122	110	90.16
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
lamo1244	Lamogai	Austronesian	Papunesia	135	135	118	87.41
adze1240	Adzera	Austronesian	Papunesia	158	158	138	87.34
oroh1237	Oroha	Austronesian	Papunesia	118	118	103	87.29
amar1272	Amara	Austronesian	Papunesia	148	147	128	87.07
naue1237	Nauete	Austronesian	Papunesia	183	182	158	86.81
tutu1241	Tutuba	Austronesian	Papunesia	184	184	159	86.41
pate1247	Patep	Austronesian	Papunesia	142	142	122	85.92
aros1241	Arosi	Austronesian	Papunesia	141	140	120	85.71
tane1237	Tanema	Austronesian	Papunesia	154	154	132	85.71
tean1237	Teanu	Austronesian	Papunesia	147	147	126	85.71
aulu1238	Aulua	Austronesian	Papunesia	160	160	137	85.62
blan1242	Blang	Austroasiatic	Eurasia	159	159	136	85.53
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	159	136	85.53
yako1252	Yakoma	Atlantic-Congo	Africa	143	142	121	85.21
tolo1255	Tolomako	Austronesian	Papunesia	120	120	102	85
piji1239	Pijin	Indo-European	Papunesia	154	153	130	84.97
whit1269	Whitesands	Austronesian	Papunesia	167	166	141	84.94
papu1250	Papuan Malay	Austronesian	Papunesia	191	190	161	84.74
vera1241	Vera'a	Austronesian	Papunesia	191	190	161	84.74
waro1242	Waropen	Austronesian	Papunesia	137	137	116	84.67
ajie1238	Ajië	Austronesian	Papunesia	149	149	126	84.56
mans1260	Mansim	Hatam-Mansim	Papunesia	71	71	60	84.51
tali1259	Talise	Austronesian	Papunesia	142	142	120	84.51
kuan1248	Kuanua	Austronesian	Papunesia	174	173	146	84.39
lave1248	Laven	Austroasiatic	Eurasia	180	179	151	84.36
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	147	124	84.35
vano1237	Lovono	Austronesian	Papunesia	146	146	123	84.25
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	57	48	84.21
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	139	117	84.17
ndog1248	Ndogo	Atlantic-Congo	Africa	177	176	148	84.09
uuuu1243	U	Austroasiatic	Eurasia	139	138	116	84.06
motl1237	Mwotlap	Austronesian	Papunesia	195	194	163	84.02
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	150	126	84
west2650	Western Cham	Austronesian	Eurasia	151	150	126	84
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	137	115	83.94
akei1237	Akei	Austronesian	Papunesia	122	122	102	83.61
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	134	112	83.58
sapu1248	Sapuan	Austroasiatic	Eurasia	152	152	127	83.55
adon1237	Adonara	Austronesian	Papunesia	165	164	137	83.54
tiga1245	Tigak	Austronesian	Papunesia	171	170	142	83.53
meng1267	Mengen	Austronesian	Papunesia	98	97	81	83.51
lara1260	Larantuka Malay	Austronesian	Papunesia	169	169	141	83.43
apma1240	Apma	Austronesian	Papunesia	194	193	161	83.42
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	36	30	83.33
noku1237	Nokuku	Austronesian	Papunesia	156	156	130	83.33
wala1266	Wala	Austronesian	Papunesia	150	150	125	83.33
west2600	West Makian	North Halmahera	Papunesia	151	150	125	83.33
chek1238	Cheke Holo	Austronesian	Papunesia	167	167	139	83.23
lach1248	Lachi	Tai-Kadai	Eurasia	167	167	139	83.23
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	167	139	83.23
idom1241	Idoma	Atlantic-Congo	Africa	144	143	119	83.22
arop1243	Arop-Lokep	Austronesian	Papunesia	161	160	133	83.12
yinc1238	Yinchia	Austroasiatic	Eurasia	65	65	54	83.08
mini1251	Minigir	Austronesian	Papunesia	178	177	147	83.05
reng1252	Rengao	Austroasiatic	Eurasia	172	171	142	83.04
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	153	127	83.01
karn1252	Karnai	Austronesian	Papunesia	142	141	117	82.98
tsat1238	Tsat	Austronesian	Eurasia	183	182	151	82.97
oldm1242	Old Mon	Austroasiatic	Eurasia	171	170	141	82.94
hala1252	Halang	Austroasiatic	Eurasia	82	82	68	82.93
surs1246	Sursurunga	Austronesian	Papunesia	159	158	131	82.91
bari1286	Bariai	Austronesian	Papunesia	176	175	145	82.86
lauu1247	Lau	Austronesian	Papunesia	141	140	116	82.86
saka1289	Wanohe	Austronesian	Papunesia	187	186	154	82.8
manm1238	Man Met	Austroasiatic	Eurasia	150	150	124	82.67
mban1263	Mbandja	Atlantic-Congo	Africa	162	161	133	82.61
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	115	95	82.61
lusi1240	Lusi	Austronesian	Papunesia	144	143	118	82.52
tuml1238	Tumleo	Austronesian	Papunesia	103	103	85	82.52
waim1252	Waima'a	Austronesian	Papunesia	144	143	118	82.52
monn1252	Mon	Austroasiatic	Eurasia	91	91	75	82.42
tang1347	Movono	Austronesian	Papunesia	159	159	131	82.39
mala1479	Colloquial Malay	Austronesian	Eurasia	153	153	126	82.35
louu1245	Lou	Austronesian	Papunesia	176	175	144	82.29
sout2857	Nahavaq	Austronesian	Papunesia	180	180	148	82.22
seim1238	Seimat	Austronesian	Papunesia	192	191	157	82.2
kwai1243	Kwaio	Austronesian	Papunesia	191	190	156	82.11
nese1235	Nese	Austronesian	Papunesia	191	190	156	82.11
rotu1241	Rotuman	Austronesian	Papunesia	163	162	133	82.1
mara1399	Maragus	Austronesian	Papunesia	174	173	142	82.08
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	184	151	82.07
