Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
lauu1247	Lau	Austronesian	Papunesia	141	112	104	92.86
oroh1237	Oroha	Austronesian	Papunesia	118	103	95	92.23
tung1290	Tungag	Austronesian	Papunesia	178	141	129	91.49
ngul1236	Nguluwan	Austronesian	Papunesia	56	53	48	90.57
ajie1238	Ajië	Austronesian	Papunesia	149	127	115	90.55
bera1262	Berau Malay	Austronesian	Papunesia	11	10	9	90
aros1241	Arosi	Austronesian	Papunesia	141	125	112	89.6
saaa1240	Sa'a	Austronesian	Papunesia	145	130	116	89.23
tolo1255	Tolomako	Austronesian	Papunesia	120	102	91	89.22
mmen1238	Mmen	Atlantic-Congo	Africa	10	9	8	88.89
ghar1239	Ghari	Austronesian	Papunesia	151	129	114	88.37
kwar1239	Kwara'ae	Austronesian	Papunesia	186	146	129	88.36
tali1259	Talise	Austronesian	Papunesia	142	128	113	88.28
bara1370	Baram Kayan	Austronesian	Papunesia	143	118	104	88.14
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	92	81	88.04
sika1261	Sikaiana	Austronesian	Papunesia	173	141	123	87.23
gela1263	Gela	Austronesian	Papunesia	181	147	128	87.07
nort2994	Northern Roglai	Austronesian	Eurasia	90	77	67	87.01
piji1239	Pijin	Indo-European	Papunesia	154	129	112	86.82
tiga1245	Tigak	Austronesian	Papunesia	171	144	125	86.81
surs1246	Sursurunga	Austronesian	Papunesia	159	135	117	86.67
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	111	96	86.49
kwai1243	Kwaio	Austronesian	Papunesia	191	148	128	86.49
noku1237	Nokuku	Austronesian	Papunesia	156	128	110	85.94
anut1237	Anuta	Austronesian	Papunesia	153	125	107	85.6
hawa1245	Hawaiian	Austronesian	Papunesia	181	144	123	85.42
mand1440	Mandara	Austronesian	Papunesia	177	143	122	85.31
leme1238	Lemerig	Austronesian	Papunesia	164	136	116	85.29
taku1257	Takuu	Austronesian	Papunesia	168	136	116	85.29
rovi1238	Roviana	Austronesian	Papunesia	161	142	121	85.21
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	54	46	85.19
