Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	4	4	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	3	3	100
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	41	38	92.68
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	93	84	90.32
ndom1245	Ndom	Kolopom	Papunesia	74	38	34	89.47
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	48	42	87.5
kalu1248	Kaluli	Bosavi	Papunesia	96	93	81	87.1
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	84	73	86.9
tibe1274	Tibea	Atlantic-Congo	Africa	95	38	33	86.84
iyoo1238	Iyo	Nuclear Trans New Guinea	Papunesia	153	80	69	86.25
kora1294	Korafe-Yegha	Nuclear Trans New Guinea	Papunesia	96	87	74	85.06
goli1247	Golin	Nuclear Trans New Guinea	Papunesia	88	86	73	84.88
komb1274	Kombai	Nuclear Trans New Guinea	Papunesia	182	91	77	84.62
koit1244	Koitabu	Koiarian	Papunesia	168	83	70	84.34
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	87	73	83.91
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	86	72	83.72
usan1239	Usan	Nuclear Trans New Guinea	Papunesia	100	91	76	83.52
mill1237	Millcayac	Huarpean	South America	122	66	55	83.33
pawa1255	Pawaia		Papunesia	110	54	45	83.33
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	18	15	83.33
haru1245	Haruai	Piawi	Papunesia	178	89	74	83.15
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	83	69	83.13
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	87	72	82.76
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	80	66	82.5
lule1238	Lule		South America	146	79	65	82.28
darm1243	Darma	Sino-Tibetan	Eurasia	179	84	69	82.14
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	50	41	82
siro1249	Siroi	Nuclear Trans New Guinea	Papunesia	98	94	77	81.91
kobo1249	Kobon	Nuclear Trans New Guinea	Papunesia	96	87	71	81.61
kara1499	Kalamang	West Bomberai	Papunesia	99	54	44	81.48
hrus1242	Hruso		Eurasia	89	43	35	81.4
misk1235	Mískito	Misumalpan	North America	162	90	73	81.11
tele1256	Telefol	Nuclear Trans New Guinea	Papunesia	99	90	73	81.11
bolg1251	Bolgo	Atlantic-Congo	Africa	78	47	38	80.85
naba1256	Nabak	Nuclear Trans New Guinea	Papunesia	82	77	62	80.52
mauw1238	Mauwake	Nuclear Trans New Guinea	Papunesia	92	87	70	80.46
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	61	49	80.33
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	5	4	80
idum1241	Idu	Sino-Tibetan	Eurasia	151	70	56	80
siam1242	Siamou		Africa	134	70	56	80
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	64	51	79.69
gira1247	Girawa	Nuclear Trans New Guinea	Papunesia	169	88	70	79.55
kima1246	Kimaama	Kolopom	Papunesia	92	44	35	79.55
fasu1242	Fasu		Papunesia	120	63	50	79.37
fore1270	Fore	Nuclear Trans New Guinea	Papunesia	97	92	73	79.35
gant1244	Gants	Nuclear Trans New Guinea	Papunesia	164	87	69	79.31
apma1241	Ap Ma	Keram	Papunesia	126	82	65	79.27
