Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	7	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
tain1254	Taino	Arawakan	North America	4	4	4	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
ramo1244	Ramoaaina	Austronesian	Papunesia	52	43	37	86.05
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	83	70	84.34
lamo1244	Lamogai	Austronesian	Papunesia	135	123	103	83.74
woii1237	Woi	Austronesian	Papunesia	191	154	127	82.47
furu1242	Furu	Central Sudanic	Africa	127	107	88	82.24
alor1247	Alorese	Austronesian	Papunesia	168	151	124	82.12
ngul1236	Nguluwan	Austronesian	Papunesia	56	55	45	81.82
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	126	103	81.75
vinm1237	Neve'ei	Austronesian	Papunesia	143	129	105	81.4
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	13	81.25
kuan1248	Kuanua	Austronesian	Papunesia	174	149	121	81.21
sela1259	Selaru	Austronesian	Papunesia	186	153	124	81.05
iwal1237	Iwal	Austronesian	Papunesia	134	116	94	81.03
mans1260	Mansim	Hatam-Mansim	Papunesia	71	68	55	80.88
east1236	Eastern Katu	Austroasiatic	Eurasia	106	94	76	80.85
ware1253	Warembori	Austronesian	Papunesia	170	146	118	80.82
mpur1239	Mpur		Papunesia	185	156	126	80.77
piji1239	Pijin	Indo-European	Papunesia	154	134	108	80.6
labo1244	Ninde	Austronesian	Papunesia	122	112	90	80.36
gebe1237	Gebe	Austronesian	Papunesia	129	116	93	80.17
abad1241	Abadi	Austronesian	Papunesia	118	105	84	80
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	50	40	80
katb1237	Avava	Austronesian	Papunesia	183	149	119	79.87
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	124	99	79.84
amar1272	Amara	Austronesian	Papunesia	148	133	106	79.7
west2397	Western Bru	Austroasiatic	Eurasia	157	133	106	79.7
midd1327	Middle Watut	Austronesian	Papunesia	140	128	102	79.69
abun1252	Abun		Papunesia	195	157	125	79.62
vano1237	Lovono	Austronesian	Papunesia	146	132	105	79.55
buwa1243	Buwal	Afro-Asiatic	Africa	191	156	124	79.49
waig1244	Waigeo	Austronesian	Papunesia	176	146	116	79.45
lusi1240	Lusi	Austronesian	Papunesia	144	126	100	79.37
monn1252	Mon	Austroasiatic	Eurasia	91	87	69	79.31
tong1308	Maniq	Austroasiatic	Eurasia	163	145	115	79.31
maan1238	Ma'anyan	Austronesian	Papunesia	163	140	111	79.29
lewo1244	Lewotobi	Austronesian	Papunesia	189	154	122	79.22
leti1246	Leti (Indonesia)	Austronesian	Papunesia	172	144	114	79.17
sobe1238	Sobei	Austronesian	Papunesia	130	115	91	79.13
kove1237	Kove	Austronesian	Papunesia	180	153	121	79.08
gese1240	Geser-Gorom	Austronesian	Papunesia	69	62	49	79.03
tane1237	Tanema	Austronesian	Papunesia	154	138	109	78.99
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	133	105	78.95
tean1237	Teanu	Austronesian	Papunesia	147	133	105	78.95
tali1259	Talise	Austronesian	Papunesia	142	128	101	78.91
whit1269	Whitesands	Austronesian	Papunesia	167	147	116	78.91
tolo1255	Tolomako	Austronesian	Papunesia	120	108	85	78.7
golo1234	Golo	Atlantic-Congo	Africa	82	70	55	78.57
tumu1242	Tumulung Sisaala	Atlantic-Congo	Africa	95	84	66	78.57
luan1263	Luang	Austronesian	Papunesia	173	149	117	78.52
