Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	9	8	88.89
poya1241	Poyanáwa	Pano-Tacanan	South America	50	27	23	85.19
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	38	32	84.21
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	71	57	80.28
yulp1239	Yulparija	Pama-Nyungan	Australia	156	85	68	80
jaru1254	Jaru	Pama-Nyungan	Australia	61	39	31	79.49
thur1254	Thurawal	Pama-Nyungan	Australia	86	43	34	79.07
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	71	56	78.87
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	89	70	78.65
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	79	62	78.48
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	55	42	76.36
warl1256	Warluwara	Pama-Nyungan	Australia	95	93	71	76.34
gara1269	Garrwa	Garrwan	Australia	94	92	70	76.09
rita1239	Ritarungo	Pama-Nyungan	Australia	93	91	69	75.82
kova1243	Kovai	Nuclear Trans New Guinea	Papunesia	88	49	37	75.51
thay1249	Thayore	Pama-Nyungan	Australia	99	97	73	75.26
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	3	75
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	88	66	75
walm1241	Walmajarri	Pama-Nyungan	Australia	57	28	21	75
kaya1319	Kayardild	Tangkic	Australia	96	94	70	74.47
atam1239	Atampaya	Pama-Nyungan	Australia	87	86	64	74.42
huli1244	Huli	Nuclear Trans New Guinea	Papunesia	131	70	52	74.29
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	31	23	74.19
gang1267	Ganggalida	Tangkic	Australia	94	92	68	73.91
maku1277	Maku'a	Austronesian	Papunesia	29	23	17	73.91
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	76	56	73.68
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	15	11	73.33
wamb1258	Wambayan	Mirndi	Australia	103	97	71	73.2
ngar1284	Ngarinyin	Worrorran	Australia	181	93	68	73.12
arab1267	Arabana	Pama-Nyungan	Australia	62	37	27	72.97
kara1476	Karadjeri	Pama-Nyungan	Australia	67	37	27	72.97
waru1265	Warumungu	Pama-Nyungan	Australia	173	85	62	72.94
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	92	67	72.83
guny1241	Gunya	Pama-Nyungan	Australia	177	95	69	72.63
wayu1241	Wayu	Sino-Tibetan	Eurasia	183	91	66	72.53
nyig1240	Nyigina	Nyulnyulan	Australia	128	69	50	72.46
dhar1247	Dhargari	Pama-Nyungan	Australia	77	47	34	72.34
bura1267	Burarra	Maningrida	Australia	87	83	60	72.29
eude1234	Eudeve	Uto-Aztecan	North America	153	83	60	72.29
muru1266	Muruwari	Pama-Nyungan	Australia	157	83	60	72.29
wang1291	Ngiyambaa	Pama-Nyungan	Australia	169	86	62	72.09
nort2980	North Junín Quechua	Quechuan	South America	175	93	67	72.04
wuna1249	Wunambal	Worrorran	Australia	127	75	54	72
