Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
nort2994	Northern Roglai	Austronesian	Eurasia	90	86	80	93.02
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
shee1238	She	Hmong-Mien	Eurasia	162	156	140	89.74
naro1251	Narom	Austronesian	Papunesia	132	128	114	89.06
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	57	89.06
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	163	145	88.96
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	54	48	88.89
sapu1248	Sapuan	Austroasiatic	Eurasia	152	147	130	88.44
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	180	159	88.33
hala1252	Halang	Austroasiatic	Eurasia	82	77	68	88.31
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	109	96	88.07
lach1248	Lachi	Tai-Kadai	Eurasia	167	158	139	87.97
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	91	80	87.91
tsat1238	Tsat	Austronesian	Eurasia	183	172	151	87.79
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	175	153	87.43
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	175	153	87.43
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	166	145	87.35
chra1242	Chrau	Austroasiatic	Eurasia	166	158	138	87.34
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	158	138	87.34
boly1239	Bolyu	Austroasiatic	Eurasia	166	157	137	87.26
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	179	156	87.15
enuu1235	Enu	Sino-Tibetan	Eurasia	193	179	156	87.15
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	178	155	87.08
lave1249	Brao	Austroasiatic	Eurasia	122	116	101	87.07
lara1260	Larantuka Malay	Austronesian	Papunesia	169	162	141	87.04
sani1269	Sani	Sino-Tibetan	Eurasia	168	161	140	86.96
west2650	Western Cham	Austronesian	Eurasia	151	145	126	86.9
haro1237	Haroi	Austronesian	Eurasia	95	91	79	86.81
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	174	151	86.78
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	173	150	86.71
mala1479	Colloquial Malay	Austronesian	Eurasia	153	150	130	86.67
west2397	Western Bru	Austroasiatic	Eurasia	157	150	130	86.67
mokl1243	Moklen	Austronesian	Eurasia	181	172	149	86.63
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	171	148	86.55
adon1237	Adonara	Austronesian	Papunesia	165	156	135	86.54
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	178	154	86.52
biha1246	Bih	Austronesian	Eurasia	182	169	146	86.39
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	176	152	86.36
khan1274	Kháng	Austroasiatic	Eurasia	168	161	139	86.34
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	146	126	86.3
uuuu1243	U	Austroasiatic	Eurasia	139	131	113	86.26
kuyy1240	Kuy	Austroasiatic	Eurasia	174	166	143	86.14
huuu1240	Hu	Austroasiatic	Eurasia	175	165	142	86.06
baba1267	Baba Malay	Austronesian	Eurasia	191	179	154	86.03
papu1250	Papuan Malay	Austronesian	Papunesia	191	179	154	86.03
manm1238	Man Met	Austroasiatic	Eurasia	150	143	123	86.01
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	178	153	85.96
east2332	Eastern Bru	Austroasiatic	Eurasia	134	128	110	85.94
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	71	61	85.92
kupa1239	Kupang Malay	Austronesian	Papunesia	168	163	140	85.89
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	127	109	85.83
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	134	115	85.82
oldm1242	Old Mon	Austroasiatic	Eurasia	171	161	138	85.71
phai1238	Prai	Austroasiatic	Eurasia	186	175	150	85.71
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	153	131	85.62
honi1244	Honi	Sino-Tibetan	Eurasia	165	159	136	85.53
mans1260	Mansim	Hatam-Mansim	Papunesia	71	68	58	85.29
waro1242	Waropen	Austronesian	Papunesia	137	128	109	85.16
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	141	120	85.11
alor1247	Alorese	Austronesian	Papunesia	168	161	137	85.09
mand1415	Mandarin Chinese	Sino-Tibetan	Eurasia	195	181	154	85.08
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	174	148	85.06
jara1266	Jarai	Austronesian	Eurasia	156	147	125	85.03
east2485	Eastern Penan	Austronesian	Papunesia	147	140	119	85
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	180	153	85
wuch1236	Wu Chinese	Sino-Tibetan	Eurasia	192	179	152	84.92
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	172	146	84.88
buga1247	Bugan	Austroasiatic	Eurasia	190	178	151	84.83
rade1240	Rade	Austronesian	Eurasia	167	157	133	84.71
lund1271	Lundayeh	Austronesian	Papunesia	141	137	116	84.67
bang1369	Bangru	Sino-Tibetan	Eurasia	151	143	121	84.62
homa1239	Homa	Atlantic-Congo	Africa	14	13	11	84.62
