Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	19	18	94.74
thur1254	Thurawal	Pama-Nyungan	Australia	86	69	64	92.75
wanm1242	Wanman	Pama-Nyungan	Australia	132	85	78	91.76
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	10	9	90
bert1248	Berta		Africa	119	78	70	89.74
guny1241	Gunya	Pama-Nyungan	Australia	177	93	83	89.25
yulp1239	Yulparija	Pama-Nyungan	Australia	156	95	84	88.42
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	85	74	87.06
nhan1238	Nhanda	Pama-Nyungan	Australia	163	91	79	86.81
waru1265	Warumungu	Pama-Nyungan	Australia	173	98	85	86.73
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	90	78	86.67
kalk1246	Kalkutung	Pama-Nyungan	Australia	158	93	80	86.02
nyig1240	Nyigina	Nyulnyulan	Australia	128	77	66	85.71
walm1241	Walmajarri	Pama-Nyungan	Australia	57	35	30	85.71
yoku1256	Northern Yokuts	Yokutsan	North America	173	97	83	85.57
wayu1241	Wayu	Sino-Tibetan	Eurasia	183	95	81	85.26
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	94	80	85.11
chep1245	Chepang	Sino-Tibetan	Eurasia	163	92	78	84.78
wath1238	Wathawurrung	Pama-Nyungan	Australia	55	39	33	84.62
marg1253	Margany	Pama-Nyungan	Australia	144	84	71	84.52
mayk1239	Maykulan	Pama-Nyungan	Australia	152	90	76	84.44
biri1256	Biri	Pama-Nyungan	Australia	146	89	75	84.27
pano1255	Panobo	Pano-Tacanan	South America	163	94	79	84.04
taro1264	Seediq	Austronesian	Papunesia	75	43	36	83.72
cusc1236	Cusco Quechua	Quechuan	South America	167	97	81	83.51
nucl1633	Nimboran	Nimboranic	Papunesia	171	97	81	83.51
nort2980	North Junín Quechua	Quechuan	South America	175	95	79	83.16
asur1254	Asuri	Austroasiatic	Eurasia	149	88	73	82.95
cald1236	Calderón Highland Quichua	Quechuan	South America	155	93	77	82.8
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	58	48	82.76
mart1255	Martuthunira	Pama-Nyungan	Australia	184	98	81	82.65
yayg1236	Yaygir	Pama-Nyungan	Australia	154	91	75	82.42
koka1244	Kokata	Pama-Nyungan	Australia	143	85	70	82.35
rita1239	Ritarungo	Pama-Nyungan	Australia	93	51	42	82.35
puqu1242	Puquina		South America	118	79	65	82.28
gana1278	Ganai	Pama-Nyungan	Australia	53	45	37	82.22
muru1266	Muruwari	Pama-Nyungan	Australia	157	95	78	82.11
west2618	Western Canadian Inuktitut	Eskimo-Aleut	North America	116	67	55	82.09
buol1237	Buol	Austronesian	Papunesia	117	78	64	82.05
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	39	32	82.05
uruu1244	Uru	Uru-Chipaya	South America	170	89	73	82.02
cent2050	Central Kanuri	Saharan	Africa	173	94	77	81.91
kuku1273	Kuku-Yalanji	Pama-Nyungan	Australia	184	94	77	81.91
patt1248	Pattani	Sino-Tibetan	Eurasia	172	94	77	81.91
maku1277	Maku'a	Austronesian	Papunesia	29	22	18	81.82
mats1244	Matsés	Pano-Tacanan	South America	174	98	80	81.63
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	54	44	81.48
thay1249	Thayore	Pama-Nyungan	Australia	99	54	44	81.48
murl1244	Murle	Surmic	Africa	175	97	79	81.44
take1257	Takelma		North America	173	96	78	81.25
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	85	69	81.18
darl1243	Paakantyi	Pama-Nyungan	Australia	45	37	30	81.08
pany1241	Panytyima	Pama-Nyungan	Australia	171	95	77	81.05
hual1241	Huallaga Huánuco Quechua	Quechuan	South America	191	99	80	80.81
gara1269	Garrwa	Garrwan	Australia	94	52	42	80.77
waga1260	Wagaya	Pama-Nyungan	Australia	134	78	63	80.77
tuba1278	Tübatulabal	Uto-Aztecan	North America	152	83	67	80.72
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	83	67	80.72
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	88	71	80.68
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	62	50	80.65
mola1238	Molale		North America	174	93	75	80.65
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	87	70	80.46
pitt1247	Pitta Pitta	Pama-Nyungan	Australia	160	92	74	80.43
cent2322	Central Mansi	Uralic	Eurasia	185	97	78	80.41
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	97	78	80.41
yaki1237	Northwest Sahaptin	Sahaptian	North America	187	97	78	80.41
basa1287	Basay	Austronesian	Papunesia	106	76	61	80.26
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	81	65	80.25
nuer1246	Nuer	Nilotic	Africa	158	91	73	80.22
daai1236	Daai Chin	Sino-Tibetan	Eurasia	183	96	77	80.21
gira1247	Girawa	Nuclear Trans New Guinea	Papunesia	169	96	77	80.21
boli1256	Bolinao	Austronesian	Papunesia	60	40	32	80
esee1247	Ese	Koiarian	Papunesia	75	45	36	80
glav1244	Glavda	Afro-Asiatic	Africa	149	90	72	80
kuku1280	Kuku-Uwanh	Pama-Nyungan	Australia	155	85	68	80
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	40	32	80
sanm1289	San Martín Quechua	Quechuan	South America	171	94	75	79.79
nort2972	Northern Emberá	Chocoan	South America	167	84	67	79.76
moch1259	Mochica		South America	139	79	63	79.75
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	79	63	79.75
skol1241	Skolt Saami	Uralic	Eurasia	192	98	78	79.59
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	88	70	79.55
kaur1267	Kaurna	Pama-Nyungan	Australia	48	34	27	79.41
rata1244	Ratahan	Austronesian	Papunesia	166	97	77	79.38
lule1238	Lule		South America	146	92	73	79.35
mang1405	Manggarai	Austronesian	Papunesia	168	92	73	79.35
para1302	Para Naga	Sino-Tibetan	Eurasia	157	87	69	79.31
djin1251	Jingulu	Mirndi	Australia	166	82	65	79.27
jaqa1244	Jaqaru	Aymaran	South America	150	82	65	79.27
nara1262	Nara		Africa	132	72	57	79.17
wang1291	Ngiyambaa	Pama-Nyungan	Australia	169	91	72	79.12
arab1267	Arabana	Pama-Nyungan	Australia	62	43	34	79.07
nuuc1236	Nuu-chah-nulth	Wakashan	North America	151	86	68	79.07
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	43	34	79.07
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	81	64	79.01
jaru1254	Jaru	Pama-Nyungan	Australia	61	38	30	78.95
kara1476	Karadjeri	Pama-Nyungan	Australia	67	38	30	78.95
sooo1256	Soo	Kuliak	Africa	82	52	41	78.85
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	85	67	78.82
hooo1248	Ho	Austroasiatic	Eurasia	149	85	67	78.82
naru1238	Narungga	Pama-Nyungan	Australia	106	66	52	78.79
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	94	74	78.72
omie1241	Ömie	Koiarian	Papunesia	156	94	74	78.72
mota1237	Mota	Austronesian	Papunesia	107	75	59	78.67
ngaa1240	Ngaanyatjarra	Pama-Nyungan	Australia	154	89	70	78.65
niha1238	Nihali		Eurasia	164	89	70	78.65
tuvi1240	Tuvinian	Turkic	Eurasia	154	89	70	78.65
arao1248	Araona	Pano-Tacanan	South America	193	98	77	78.57
cani1243	Canichana		South America	50	42	33	78.57
eipo1242	Eipomek	Nuclear Trans New Guinea	Papunesia	184	98	77	78.57
