Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	3	3	100
gamb1251	Gambera	Worrorran	Australia	129	110	102	92.73
winj1235	Winjarumi	Worrorran	Australia	126	107	99	92.52
wila1240	Wilawila	Worrorran	Australia	127	109	100	91.74
worr1237	Worrorra	Worrorran	Australia	151	116	106	91.38
kwin1241	Kwini	Worrorran	Australia	160	115	105	91.3
miwa1242	Miwa	Worrorran	Australia	130	112	102	91.07
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	18	16	88.89
umii1235	Umiida-Unggarangu	Worrorran	Australia	88	72	64	88.89
ngar1284	Ngarinyin	Worrorran	Australia	181	123	105	85.37
maun1240	Mawng	Iwaidjan Proper	Australia	194	127	107	84.25
umbu1235	Umbugarla		Australia	126	94	79	84.04
beem1239	Beembe	Atlantic-Congo	Africa	144	95	78	82.11
yawa1261	Yawalapití	Arawakan	South America	58	42	34	80.95
gunw1252	Bininj Kun-Wok	Gunwinyguan	Australia	191	125	101	80.8
kung1259	Kungarakany		Australia	82	62	50	80.65
urni1239	Urningangg	Giimbiyu	Australia	157	112	90	80.36
kunb1251	Kunbarlang	Gunwinyguan	Australia	190	125	100	80
lang1320	Langi	Atlantic-Congo	Africa	174	115	92	80
lara1258	Laragia		Australia	108	80	64	80
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	29	23	79.31
swah1253	Swahili	Atlantic-Congo	Africa	178	120	95	79.17
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	67	53	79.1
ngar1283	Ngarnka	Mirndi	Australia	162	114	90	78.95
ndob1238	Ndobo	Atlantic-Congo	Africa	85	75	59	78.67
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	70	55	78.57
pich1237	Pichis Ashéninka	Arawakan	South America	148	107	84	78.5
gaga1251	Gaagudju		Australia	169	116	91	78.45
kagu1239	Kagulu	Atlantic-Congo	Africa	186	125	98	78.4
murr1258	Murriny Patha	Southern Daly	Australia	97	74	58	78.38
orok1266	Oroko	Atlantic-Congo	Africa	139	106	83	78.3
tiwi1244	Tiwi		Australia	102	78	61	78.21
saam1283	Saamia	Atlantic-Congo	Africa	134	87	68	78.16
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	41	32	78.05
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	77	60	77.92
akoo1248	Akoose	Atlantic-Congo	Africa	185	120	93	77.5
anin1240	Anindilyakwa	Gunwinyguan	Australia	102	80	62	77.5
otta1242	Ottawa	Algic	North America	190	124	96	77.42
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	115	89	77.39
bamw1238	Bamwe	Atlantic-Congo	Africa	102	88	68	77.27
nila1242	Nilamba	Atlantic-Congo	Africa	162	110	85	77.27
wage1238	Wageman		Australia	175	114	88	77.19
mang1381	Mangarrayi	Mangarrayi-Maran	Australia	192	127	98	77.17
bura1267	Burarra	Maningrida	Australia	87	70	54	77.14
zinz1238	Zinza	Atlantic-Congo	Africa	106	70	54	77.14
wadj1254	Wadjiginy		Australia	141	104	80	76.92
shon1251	Shona	Atlantic-Congo	Africa	182	121	93	76.86
mbol1247	Mbole	Atlantic-Congo	Africa	89	56	43	76.79
gusi1247	Gusii	Atlantic-Congo	Africa	173	116	89	76.72
djam1255	Jaminjung-Ngaliwurru	Mirndi	Australia	184	123	94	76.42
loup1243	Loup A	Algic	North America	132	101	77	76.24
djee1236	Djeebbana	Maningrida	Australia	182	122	93	76.23
haaa1252	Ha	Atlantic-Congo	Africa	187	122	93	76.23
nyul1247	Nyulnyul	Nyulnyulan	Australia	159	109	83	76.15
seve1240	Severn Ojibwa	Algic	North America	176	121	92	76.03
bila1255	Bila	Atlantic-Congo	Africa	134	100	76	76
djin1251	Jingulu	Mirndi	Australia	166	104	79	75.96
budz1238	Budza	Atlantic-Congo	Africa	166	112	85	75.89
warr1258	Warrwa	Nyulnyulan	Australia	137	112	85	75.89
liki1240	Balobo	Atlantic-Congo	Africa	99	87	66	75.86
ines1240	Ineseño	Chumashan	North America	173	120	91	75.83
kili1267	Kilivila	Austronesian	Papunesia	187	124	94	75.81
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	111	84	75.68
mara1385	Marra	Mangarrayi-Maran	Australia	94	74	56	75.68
mbya1239	Mbyá Guaraní	Tupian	South America	161	115	87	75.65
mele1250	Mele-Fila	Austronesian	Papunesia	115	78	59	75.64
toor1238	Tooro	Atlantic-Congo	Africa	184	119	90	75.63
pila1245	Pilagá	Guaicuruan	South America	183	123	93	75.61
waim1251	Waima	Austronesian	Papunesia	186	126	95	75.4
tote1238	Totela	Atlantic-Congo	Africa	161	109	82	75.23
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	121	91	75.21
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	20	15	75
belu1239	Belueli	Atlantic-Congo	Africa	73	56	42	75
bine1240	Bine	Eastern Trans-Fly	Papunesia	88	68	51	75
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	116	87	75
sanm1301	San Marcos Tlalcoyalco Popoloca	Otomanguean	North America	141	108	81	75
tain1254	Taino	Arawakan	North America	4	4	3	75
digo1243	Digo	Atlantic-Congo	Africa	190	123	92	74.8
lika1243	Liko	Atlantic-Congo	Africa	165	119	89	74.79
makh1264	Makhuwa	Atlantic-Congo	Africa	168	115	86	74.78
moco1246	Mocoví	Guaicuruan	South America	169	115	86	74.78
yulp1239	Yulparija	Pama-Nyungan	Australia	156	111	83	74.77
miam1252	Miami	Algic	North America	120	95	71	74.74
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	91	68	74.73
tien1242	Tiene	Atlantic-Congo	Africa	126	91	68	74.73
thar1283	Tharaka	Atlantic-Congo	Africa	101	71	53	74.65
tswa1253	Tswana	Atlantic-Congo	Africa	178	118	88	74.58
lozi1239	Lozi	Atlantic-Congo	Africa	137	106	79	74.53
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	98	73	74.49
koti1238	Koti	Atlantic-Congo	Africa	182	121	90	74.38
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	113	84	74.34
yeyi1239	Yeyi	Atlantic-Congo	Africa	102	74	55	74.32
waim1253	Waimiri-Atroari	Cariban	South America	127	97	72	74.23
chim1312	Chimwiini	Atlantic-Congo	Africa	81	62	46	74.19
soch1239	Sochiapam Chinantec	Otomanguean	North America	187	124	92	74.19
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	120	89	74.17
west2624	Western Huasteca Nahuatl	Uto-Aztecan	North America	128	89	66	74.16
mala1481	Manado Malay	Austronesian	Papunesia	178	116	86	74.14
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	112	83	74.11
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	27	20	74.07
nyak1260	Nyakyusa-Ngonde	Atlantic-Congo	Africa	153	108	80	74.07
luok1236	Luo (Kenya and Tanzania)	Nilotic	Africa	185	123	91	73.98
gwen1239	Gweno	Atlantic-Congo	Africa	135	96	71	73.96
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	23	17	73.91
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	111	82	73.87
nucl1622	Marind	Anim	Papunesia	194	126	93	73.81
wyan1247	Huron-Wyandot	Iroquoian	North America	111	84	62	73.81
nyan1307	Nyankole	Atlantic-Congo	Africa	185	122	90	73.77
nezp1238	Nez Perce	Sahaptian	North America	176	118	87	73.73
wari1268	Wari'	Chapacuran	South America	184	125	92	73.6
labu1248	Labu	Austronesian	Papunesia	154	106	78	73.58
cher1273	Cherokee	Iroquoian	North America	184	121	89	73.55
ndam1251	Ndam	Afro-Asiatic	Africa	41	34	25	73.53
iton1250	Itonama		South America	170	117	86	73.5
daak1235	Da'a Kaili	Austronesian	Papunesia	123	83	61	73.49
elip1238	Elip	Atlantic-Congo	Africa	111	83	61	73.49
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	64	47	73.44
ngur1261	Wilson River (Grey Range)	Pama-Nyungan	Australia	29	15	11	73.33
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	101	74	73.27
bard1255	Bardi	Nyulnyulan	Australia	94	71	52	73.24
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	127	93	73.23
mwer1248	Mwera (Chimwera)	Atlantic-Congo	Africa	153	112	82	73.21
ndam1239	Ndamba	Atlantic-Congo	Africa	180	123	90	73.17
lamb1272	Lambya	Atlantic-Congo	Africa	132	93	68	73.12
bafi1243	Bafia	Atlantic-Congo	Africa	173	119	87	73.11
teke1275	Latege	Atlantic-Congo	Africa	180	119	87	73.11
wood1236	Woods Cree	Algic	North America	162	115	84	73.04
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	100	73	73
lumb1249	Lumbu	Atlantic-Congo	Africa	146	100	73	73
here1253	Herero	Atlantic-Congo	Africa	187	122	89	72.95
lala1268	Lala	Austronesian	Papunesia	187	122	89	72.95
nucl1327	Limilngan	Limilngan-Wulna	Australia	167	122	89	72.95
sham1280	Shambala	Atlantic-Congo	Africa	118	85	62	72.94
gese1240	Geser-Gorom	Austronesian	Papunesia	69	48	35	72.92
mamv1243	Mamvu	Central Sudanic	Africa	136	107	78	72.9
pagi1243	Pagibete	Atlantic-Congo	Africa	170	118	86	72.88
kaon1241	Kaonde	Atlantic-Congo	Africa	120	92	67	72.83
cani1243	Canichana		South America	50	44	32	72.73
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	44	32	72.73
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	77	56	72.73
agut1237	Agutaynen	Austronesian	Papunesia	161	117	85	72.65
mpot1240	Mpoto	Atlantic-Congo	Africa	173	117	85	72.65
plai1258	Plains Cree	Algic	North America	174	117	85	72.65
ward1246	Wardaman	Yangmanic	Australia	164	117	85	72.65
motu1246	Motu	Austronesian	Papunesia	160	113	82	72.57
siks1238	Siksika	Algic	North America	162	113	82	72.57
ache1245	Acheron	Narrow Talodi	Africa	120	91	66	72.53
bomb1262	Bomboma	Atlantic-Congo	Africa	119	91	66	72.53
koon1245	Koonzime	Atlantic-Congo	Africa	133	91	66	72.53
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	91	66	72.53
gali1262	Galibi Carib	Cariban	South America	173	120	87	72.5
nhen1239	Nhengatu	Tupian	South America	181	120	87	72.5
bulu1251	Bulu (Cameroon)	Atlantic-Congo	Africa	164	109	79	72.48
wash1253	Washo		North America	152	109	79	72.48
konz1239	Konzo	Atlantic-Congo	Africa	133	98	71	72.45
bobo1255	Bobongko	Austronesian	Papunesia	73	58	42	72.41
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	116	84	72.41
shas1239	Shasta	Shastan	North America	144	105	76	72.38
nama1268	Namakura	Austronesian	Papunesia	120	76	55	72.37
nort2961	Northwestern Ojibwa	Algic	North America	189	123	89	72.36
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	123	89	72.36
lito1235	Litoka	Atlantic-Congo	Africa	97	83	60	72.29
ashe1272	Ashéninka Perené	Arawakan	South America	193	126	91	72.22
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	90	65	72.22
papa1268	Papar	Austronesian	Papunesia	47	36	26	72.22
hixk1239	Hixkaryána	Cariban	South America	162	115	83	72.17
dual1243	Duala	Atlantic-Congo	Africa	138	97	70	72.16
iama1237	Iamalele	Austronesian	Papunesia	107	79	57	72.15
male1297	Maléku Jaíka	Chibchan	North America	188	122	88	72.13
pang1287	Pangwa	Atlantic-Congo	Africa	167	111	80	72.07
west2548	West Damar	Austronesian	Papunesia	163	111	80	72.07
yasa1242	Yasa	Atlantic-Congo	Africa	101	68	49	72.06
yapu1240	Yeri	Nuclear Torricelli	Papunesia	163	118	85	72.03
puin1248	Puinave		South America	44	25	18	72
sina1266	Sinaugoro	Austronesian	Papunesia	192	125	90	72
thay1249	Thayore	Pama-Nyungan	Australia	99	75	54	72
warl1254	Warlpiri	Pama-Nyungan	Australia	98	75	54	72
warr1255	Warrgamay	Pama-Nyungan	Australia	80	50	36	72
noma1260	Nomaande	Atlantic-Congo	Africa	118	82	59	71.95
chek1238	Cheke Holo	Austronesian	Papunesia	167	114	82	71.93
