Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	8	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
nyat1246	Nyaturu	Atlantic-Congo	Africa	160	127	106	83.46
bata1285	Batanga	Atlantic-Congo	Africa	113	96	80	83.33
yasa1242	Yasa	Atlantic-Congo	Africa	101	83	69	83.13
thar1283	Tharaka	Atlantic-Congo	Africa	101	87	72	82.76
bafa1247	Bafaw-Balong	Atlantic-Congo	Africa	130	115	95	82.61
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	131	108	82.44
nila1242	Nilamba	Atlantic-Congo	Africa	162	130	107	82.31
koti1238	Koti	Atlantic-Congo	Africa	182	135	111	82.22
fipa1238	Fipa	Atlantic-Congo	Africa	120	101	83	82.18
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	124	101	81.45
budz1238	Budza	Atlantic-Congo	Africa	166	129	105	81.4
nyan1307	Nyankole	Atlantic-Congo	Africa	185	139	113	81.29
bond1247	Bondei	Atlantic-Congo	Africa	151	121	98	80.99
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	21	17	80.95
suba1238	Suba	Atlantic-Congo	Africa	111	94	76	80.85
zinz1238	Zinza	Atlantic-Congo	Africa	106	94	76	80.85
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	130	105	80.77
bush1247	Bushoong	Atlantic-Congo	Africa	184	133	107	80.45
nyor1246	Nyoro	Atlantic-Congo	Africa	180	133	107	80.45
suku1261	Sukuma	Atlantic-Congo	Africa	128	107	86	80.37
tuki1240	Tuki	Atlantic-Congo	Africa	160	121	97	80.17
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	126	101	80.16
mbol1247	Mbole	Atlantic-Congo	Africa	89	70	56	80
sham1280	Shambala	Atlantic-Congo	Africa	118	89	71	79.78
jita1239	Jita	Atlantic-Congo	Africa	75	64	51	79.69
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	118	94	79.66
konz1239	Konzo	Atlantic-Congo	Africa	133	108	86	79.63
zamb1245	Zamba	Atlantic-Congo	Africa	152	126	100	79.37
saga1262	Sagalla	Atlantic-Congo	Africa	152	121	96	79.34
hehe1240	Hehe	Atlantic-Congo	Africa	144	120	95	79.17
loba1239	Lobala	Atlantic-Congo	Africa	98	86	68	79.07
zulu1248	Zulu	Atlantic-Congo	Africa	42	38	30	78.95
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	109	86	78.9
mwan1247	Mwani	Atlantic-Congo	Africa	157	123	97	78.86
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	127	100	78.74
pagi1243	Pagibete	Atlantic-Congo	Africa	170	127	100	78.74
beng1282	Benga	Atlantic-Congo	Africa	132	108	85	78.7
lika1243	Liko	Atlantic-Congo	Africa	165	122	96	78.69
tswa1253	Tswana	Atlantic-Congo	Africa	178	136	107	78.68
kala1384	Kalanga	Atlantic-Congo	Africa	164	126	99	78.57
maba1270	Mabaale	Atlantic-Congo	Africa	118	98	77	78.57
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	126	99	78.57
toor1238	Tooro	Atlantic-Congo	Africa	184	135	106	78.52
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	79	62	78.48
vunj1238	Vunjo	Atlantic-Congo	Africa	165	130	102	78.46
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	88	69	78.41
ndob1238	Ndobo	Atlantic-Congo	Africa	85	73	57	78.08
ndam1239	Ndamba	Atlantic-Congo	Africa	180	132	103	78.03
dibo1245	Dibole	Atlantic-Congo	Africa	124	109	85	77.98
gusi1247	Gusii	Atlantic-Congo	Africa	173	135	105	77.78
kaon1241	Kaonde	Atlantic-Congo	Africa	120	90	70	77.78
makw1236	Makwe	Atlantic-Congo	Africa	86	71	55	77.46
belu1239	Belueli	Atlantic-Congo	Africa	73	62	48	77.42
beem1239	Beembe	Atlantic-Congo	Africa	144	115	89	77.39
haaa1252	Ha	Atlantic-Congo	Africa	187	137	106	77.37
here1253	Herero	Atlantic-Congo	Africa	187	137	106	77.37
stan1290	French	Indo-European	Eurasia	195	141	109	77.3
dual1243	Duala	Atlantic-Congo	Africa	138	110	85	77.27
mako1251	Makonde	Atlantic-Congo	Africa	164	132	102	77.27
yeyi1239	Yeyi	Atlantic-Congo	Africa	102	79	61	77.22
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	127	98	77.17
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	70	54	77.14
bomb1262	Bomboma	Atlantic-Congo	Africa	119	100	77	77
lumb1249	Lumbu	Atlantic-Congo	Africa	146	121	93	76.86
nsen1242	Nsenga	Atlantic-Congo	Africa	160	121	93	76.86
bafi1243	Bafia	Atlantic-Congo	Africa	173	129	99	76.74
liki1240	Balobo	Atlantic-Congo	Africa	99	81	62	76.54
lamb1272	Lambya	Atlantic-Congo	Africa	132	115	88	76.52
omii1238	Omi	Central Sudanic	Africa	18	17	13	76.47
teke1275	Latege	Atlantic-Congo	Africa	180	136	104	76.47
baga1273	Baga Koga	Atlantic-Congo	Africa	104	93	71	76.34
orok1266	Oroko	Atlantic-Congo	Africa	139	114	87	76.32
akoo1248	Akoose	Atlantic-Congo	Africa	185	135	103	76.3
occi1239	Occitan	Indo-European	Eurasia	187	135	103	76.3
koon1245	Koonzime	Atlantic-Congo	Africa	133	97	74	76.29
hebr1245	Modern Hebrew	Afro-Asiatic	Eurasia	167	122	93	76.23
soli1239	Soli	Atlantic-Congo	Africa	101	84	64	76.19
lang1320	Langi	Atlantic-Congo	Africa	174	130	99	76.15
latv1249	Latvian	Indo-European	Eurasia	184	134	102	76.12
soga1242	Soga	Atlantic-Congo	Africa	181	134	102	76.12
buku1249	Bukusu	Atlantic-Congo	Africa	52	46	35	76.09
mpot1240	Mpoto	Atlantic-Congo	Africa	173	129	98	75.97
gwen1239	Gweno	Atlantic-Congo	Africa	135	104	79	75.96
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	120	91	75.83
tong1318	Tonga (Zambia)	Atlantic-Congo	Africa	160	120	91	75.83
elip1238	Elip	Atlantic-Congo	Africa	111	91	69	75.82
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	70	53	75.71
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	78	59	75.64
tswa1255	Tswa	Atlantic-Congo	Africa	162	123	93	75.61
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	94	71	75.53
miwa1242	Miwa	Worrorran	Australia	130	102	77	75.49
luya1241	Luyi	Atlantic-Congo	Africa	172	130	98	75.38
lito1235	Litoka	Atlantic-Congo	Africa	97	81	61	75.31
bamw1238	Bamwe	Atlantic-Congo	Africa	102	85	64	75.29
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	101	76	75.25
saam1283	Saamia	Atlantic-Congo	Africa	134	101	76	75.25
baha1259	Baharna Arabic	Afro-Asiatic	Eurasia	147	109	82	75.23
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	109	82	75.23
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	113	85	75.22
kuan1247	Kuanyama	Atlantic-Congo	Africa	173	133	100	75.19
nyak1260	Nyakyusa-Ngonde	Atlantic-Congo	Africa	153	129	97	75.19
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	133	100	75.19
digo1243	Digo	Atlantic-Congo	Africa	190	137	103	75.18
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	137	103	75.18
biaf1240	Biafada	Atlantic-Congo	Africa	123	96	72	75
czec1258	Czech	Indo-European	Eurasia	191	140	105	75
gyel1242	Gyele	Atlantic-Congo	Africa	190	136	102	75
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	128	96	75
noma1260	Nomaande	Atlantic-Congo	Africa	118	100	75	75
swah1253	Swahili	Atlantic-Congo	Africa	178	128	96	75
tain1254	Taino	Arawakan	North America	4	4	3	75
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	84	63	75
timn1235	Timne	Atlantic-Congo	Africa	166	128	96	75
makh1264	Makhuwa	Atlantic-Congo	Africa	168	127	95	74.8
meru1245	Meru	Atlantic-Congo	Africa	162	127	95	74.8
chad1249	Chadian Arabic	Afro-Asiatic	Africa	146	107	80	74.77
rutu1240	Rutul	Nakh-Daghestanian	Eurasia	143	103	77	74.76
ache1245	Acheron	Narrow Talodi	Africa	120	99	74	74.75
osam1235	Osamayi	Atlantic-Congo	Africa	105	91	68	74.73
tivv1240	Tiv	Atlantic-Congo	Africa	110	79	59	74.68
malt1254	Maltese	Afro-Asiatic	Eurasia	173	126	94	74.6
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	63	47	74.6
koon1244	South-Central Koongo	Atlantic-Congo	Africa	153	121	90	74.38
tote1238	Totela	Atlantic-Congo	Africa	161	117	87	74.36
suku1259	Suku	Atlantic-Congo	Africa	134	113	84	74.34
wila1240	Wilawila	Worrorran	Australia	127	101	75	74.26
maka1304	Makaa	Atlantic-Congo	Africa	159	128	95	74.22
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	89	66	74.16
yaoo1241	Yao	Atlantic-Congo	Africa	137	116	86	74.14
bila1255	Bila	Atlantic-Congo	Africa	134	112	83	74.11
tien1242	Tiene	Atlantic-Congo	Africa	126	112	83	74.11
port1283	Portuguese	Indo-European	Eurasia	192	139	103	74.1
chuw1238	Chuwabu	Atlantic-Congo	Africa	180	135	100	74.07
ines1240	Ineseño	Chumashan	North America	173	131	97	74.05
pang1287	Pangwa	Atlantic-Congo	Africa	167	131	97	74.05
ndun1249	Ndunga	Atlantic-Congo	Africa	127	100	74	74
tuge1241	Tugen	Nilotic	Africa	126	96	71	73.96
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	107	79	73.83
kala1400	Central Kalapuya	Kalapuyan	North America	139	103	76	73.79
kips1239	Kipsigis	Nilotic	Africa	156	118	87	73.73
bebe1248	Bebele	Atlantic-Congo	Africa	184	137	101	73.72
libi1244	Libinza	Atlantic-Congo	Africa	134	110	81	73.64
bank1256	Bankon	Atlantic-Congo	Africa	78	72	53	73.61
ukra1253	Ukrainian	Indo-European	Eurasia	171	125	92	73.6
gamb1251	Gambera	Worrorran	Australia	129	102	75	73.53
umbu1257	Umbundu	Atlantic-Congo	Africa	153	132	97	73.48
yaak1241	Yaaku	Afro-Asiatic	Africa	177	132	97	73.48
mwer1248	Mwera (Chimwera)	Atlantic-Congo	Africa	153	124	91	73.39
mara1396	Mararit	Tamaic	Africa	92	75	55	73.33
siks1238	Siksika	Algic	North America	162	120	88	73.33
bemb1257	Bemba (Zambia)	Atlantic-Congo	Africa	183	131	96	73.28
nand1266	Nandi	Nilotic	Africa	156	116	85	73.28
chim1312	Chimwiini	Atlantic-Congo	Africa	81	71	52	73.24
asut1235	Asu (Tanzania)	Atlantic-Congo	Africa	140	112	82	73.21
kagu1239	Kagulu	Atlantic-Congo	Africa	186	138	101	73.19
ilaa1246	Ila	Atlantic-Congo	Africa	124	108	79	73.15
arom1237	Aromanian	Indo-European	Eurasia	165	126	92	73.02
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	100	73	73
chey1247	Cheyenne	Algic	North America	139	107	78	72.9
vwan1235	Vwanji	Atlantic-Congo	Africa	129	107	78	72.9
ital1282	Italian	Indo-European	Eurasia	193	140	102	72.86
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	92	67	72.83
cori1240	Cori	Atlantic-Congo	Africa	139	103	75	72.82
liby1240	Libyan Arabic	Afro-Asiatic	Africa	167	125	91	72.8
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	136	99	72.79
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	33	24	72.73
mezq1235	Mezquital Otomi	Otomanguean	North America	185	135	98	72.59
urav1235	Ura (Vanuatu)	Austronesian	Papunesia	169	124	90	72.58
lund1266	Lunda	Atlantic-Congo	Africa	150	113	82	72.57
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	120	87	72.5
holo1240	Holoholo	Atlantic-Congo	Africa	144	109	79	72.48
afad1236	Afade	Afro-Asiatic	Africa	62	58	42	72.41
nalo1235	Nalögo	Austronesian	Papunesia	33	29	21	72.41
bamu1253	Bamun	Atlantic-Congo	Africa	159	123	89	72.36
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	47	34	72.34
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	47	34	72.34
bubi1250	Bubi	Atlantic-Congo	Africa	144	119	86	72.27
ndam1251	Ndam	Afro-Asiatic	Africa	41	36	26	72.22
egyp1253	Egyptian Arabic	Afro-Asiatic	Africa	166	122	88	72.13
bert1248	Berta		Africa	119	100	72	72
shon1251	Shona	Atlantic-Congo	Africa	182	132	95	71.97
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	82	59	71.95
lese1243	Lese	Central Sudanic	Africa	150	114	82	71.93
zaca1241	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	Uto-Aztecan	North America	164	121	87	71.9
west2594	Western Dani	Nuclear Trans New Guinea	Papunesia	188	135	97	71.85
lakk1252	Lak	Nakh-Daghestanian	Eurasia	158	117	84	71.79
stan1318	Standard Arabic	Afro-Asiatic	Eurasia	167	124	89	71.77
gube1234	Gubeeher-Gufangor-Gubelor	Atlantic-Congo	Africa	180	138	99	71.74
lith1251	Lithuanian	Indo-European	Eurasia	191	138	99	71.74
ngom1268	Ngombe (Democratic Republic of Congo)	Atlantic-Congo	Africa	121	99	71	71.72
cogu1240	Cogui	Chibchan	South America	141	106	76	71.7
gulf1241	Gulf Arabic	Afro-Asiatic	Eurasia	154	120	86	71.67
lozi1239	Lozi	Atlantic-Congo	Africa	137	120	86	71.67
kolc1235	Kol (Cameroon)	Atlantic-Congo	Africa	170	134	96	71.64
icel1247	Icelandic	Indo-European	Eurasia	184	130	93	71.54
