Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	4	4	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
suru1262	Suruí	Tupian	South America	18	14	13	92.86
nyun1247	Nyunga	Pama-Nyungan	Australia	26	22	20	90.91
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	28	24	85.71
coch1272	Cochimi	Cochimi-Yuman	North America	89	73	59	80.82
ndom1245	Ndom	Kolopom	Papunesia	74	73	59	80.82
kima1246	Kimaama	Kolopom	Papunesia	92	88	71	80.68
apin1244	Apinayé	Nuclear-Macro-Je	South America	181	140	112	80
boru1252	Boruca	Chibchan	North America	117	105	84	80
ofay1240	Ofayé	Nuclear-Macro-Je	South America	160	134	107	79.85
cent2150	Central Tunebo	Chibchan	South America	159	127	101	79.53
gung1248	Gungabula	Pama-Nyungan	Australia	44	39	31	79.49
kren1239	Krenak	Nuclear-Macro-Je	South America	111	102	81	79.41
siri1273	Sirionó	Tupian	South America	169	138	109	78.99
defa1248	Defaka	Ijoid	Africa	75	66	52	78.79
ango1257	Angosturas Tunebo	Chibchan	South America	136	121	95	78.51
bamb1269	Bambara	Mande	Africa	104	92	72	78.26
eude1234	Eudeve	Uto-Aztecan	North America	153	128	100	78.12
opat1246	Teguima	Uto-Aztecan	North America	120	96	75	78.12
loma1260	Loma (Liberia)	Mande	Africa	90	73	57	78.08
cree1270	Creek	Muskogean	North America	185	144	112	77.78
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	99	77	77.78
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	7	77.78
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	70	54	77.14
susu1250	Susu	Mande	Africa	96	83	64	77.11
misk1235	Mískito	Misumalpan	North America	162	126	97	76.98
ulwa1239	Ulwa	Misumalpan	North America	165	130	100	76.92
suru1261	Suruí Do Pará	Tupian	South America	68	60	46	76.67
mwan1250	Mwan	Mande	Africa	135	107	82	76.64
embe1262	Emberá-Chamí	Chocoan	South America	159	128	98	76.56
mann1248	Mann	Mande	Africa	124	98	75	76.53
