Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
omii1238	Omi	Central Sudanic	Africa	18	11	9	81.82
zulu1248	Zulu	Atlantic-Congo	Africa	42	42	32	76.19
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	3	75
tain1254	Taino	Arawakan	North America	4	4	3	75
afad1236	Afade	Afro-Asiatic	Africa	62	38	28	73.68
lafo1243	Lafofa		Africa	68	30	22	73.33
poya1241	Poyanáwa	Pano-Tacanan	South America	50	26	19	73.08
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	88	64	72.73
walm1241	Walmajarri	Pama-Nyungan	Australia	57	29	21	72.41
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	18	13	72.22
mwer1248	Mwera (Chimwera)	Atlantic-Congo	Africa	153	86	62	72.09
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	50	36	72
gwen1239	Gweno	Atlantic-Congo	Africa	135	74	53	71.62
para1311	Paraguayan Guaraní	Tupian	South America	54	28	20	71.43
chuk1273	Chukchi	Chukotko-Kamchatkan	Eurasia	195	100	71	71
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	55	39	70.91
darl1243	Paakantyi	Pama-Nyungan	Australia	45	24	17	70.83
kuan1247	Kuanyama	Atlantic-Congo	Africa	173	96	68	70.83
plai1258	Plains Cree	Algic	North America	174	89	63	70.79
umbu1235	Umbugarla		Australia	126	68	48	70.59
alam1246	Alamblak	Sepik	Papunesia	98	97	68	70.1
digo1243	Digo	Atlantic-Congo	Africa	190	97	68	70.1
nort2864	Wemale	Austronesian	Papunesia	76	40	28	70
saam1283	Saamia	Atlantic-Congo	Africa	134	80	56	70
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	100	70	70
anin1240	Anindilyakwa	Gunwinyguan	Australia	102	96	67	69.79
siks1238	Siksika	Algic	North America	162	92	64	69.57
abkh1244	Abkhaz	Abkhaz-Adyge	Eurasia	188	98	68	69.39
miam1252	Miami	Algic	North America	120	62	43	69.35
tuki1240	Tuki	Atlantic-Congo	Africa	160	88	61	69.32
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	52	36	69.23
luya1241	Luyi	Atlantic-Congo	Africa	172	91	63	69.23
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	39	27	69.23
lozi1239	Lozi	Atlantic-Congo	Africa	137	81	56	69.14
warr1255	Warrgamay	Pama-Nyungan	Australia	80	42	29	69.05
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	58	40	68.97
bare1276	Baré	Arawakan	South America	117	90	62	68.89
isco1239	Isconahua	Pano-Tacanan	South America	192	99	68	68.69
wood1236	Woods Cree	Algic	North America	162	83	57	68.67
chim1312	Chimwiini	Atlantic-Congo	Africa	81	51	35	68.63
konz1239	Konzo	Atlantic-Congo	Africa	133	70	48	68.57
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	89	61	68.54
gros1243	Gros Ventre	Algic	North America	161	89	61	68.54
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	89	61	68.54
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	54	37	68.52
chim1301	Chimariko		North America	141	73	50	68.49
kung1259	Kungarakany		Australia	82	57	39	68.42
kett1243	Ket	Yeniseian	Eurasia	183	98	67	68.37
natc1249	Natchez		North America	108	60	41	68.33
awab1243	Awabakal	Pama-Nyungan	Australia	67	41	28	68.29
tote1238	Totela	Atlantic-Congo	Africa	161	82	56	68.29
pang1287	Pangwa	Atlantic-Congo	Africa	167	85	58	68.24
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	88	60	68.18
mwan1247	Mwani	Atlantic-Congo	Africa	157	91	62	68.13
nort2847	North Tanna	Austronesian	Papunesia	128	72	49	68.06
mara1396	Mararit	Tamaic	Africa	92	50	34	68
araw1273	Araweté	Tupian	South America	148	84	57	67.86
iama1237	Iamalele	Austronesian	Papunesia	107	56	38	67.86
sout2949	Southern Kiwai	Kiwaian	Papunesia	89	87	59	67.82
nyal1250	Nyali	Atlantic-Congo	Africa	118	59	40	67.8
here1253	Herero	Atlantic-Congo	Africa	187	93	63	67.74
munc1235	Mün Chin	Sino-Tibetan	Eurasia	186	93	63	67.74
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	93	63	67.74
lara1258	Laragia		Australia	108	71	48	67.61
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	86	58	67.44
mend1268	Mende (Papua New Guinea)	Sepik	Papunesia	87	86	58	67.44
capa1241	Capanahua	Pano-Tacanan	South America	171	89	60	67.42
soli1239	Soli	Atlantic-Congo	Africa	101	49	33	67.35
bata1285	Batanga	Atlantic-Congo	Africa	113	55	37	67.27
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	76	51	67.11
bura1267	Burarra	Maningrida	Australia	87	85	57	67.06
tswa1253	Tswana	Atlantic-Congo	Africa	178	88	59	67.05
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	39	26	66.67
awtu1239	Awtuw	Sepik	Papunesia	138	72	48	66.67
bank1256	Bankon	Atlantic-Congo	Africa	78	45	30	66.67
guri1248	Guriaso		Papunesia	24	12	8	66.67
nyun1247	Nyunga	Pama-Nyungan	Australia	26	18	12	66.67
pana1307	Panará	Nuclear-Macro-Je	South America	156	81	54	66.67
piap1246	Piapoco	Arawakan	South America	59	30	20	66.67
tega1236	Tegali	Rashad	Africa	82	45	30	66.67
umbu1257	Umbundu	Atlantic-Congo	Africa	153	84	56	66.67
waiw1244	Waiwai	Cariban	South America	178	96	64	66.67
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	9	6	66.67
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	72	48	66.67
curr1243	Curripaco	Arawakan	South America	101	98	65	66.33
mats1244	Matsés	Pano-Tacanan	South America	174	95	63	66.32
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	89	59	66.29
nila1242	Nilamba	Atlantic-Congo	Africa	162	86	57	66.28
kwin1241	Kwini	Worrorran	Australia	160	83	55	66.27
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	83	55	66.27
luva1239	Luvale	Atlantic-Congo	Africa	169	83	55	66.27
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	71	47	66.2
sham1280	Shambala	Atlantic-Congo	Africa	118	68	45	66.18
mang1381	Mangarrayi	Mangarrayi-Maran	Australia	192	100	66	66
ngal1292	Ngalkbun	Gunwinyguan	Australia	188	100	66	66
thar1283	Tharaka	Atlantic-Congo	Africa	101	47	31	65.96
gali1262	Galibi Carib	Cariban	South America	173	91	60	65.93
nyor1246	Nyoro	Atlantic-Congo	Africa	180	91	60	65.93
mola1238	Molale		North America	174	88	58	65.91
mara1382	Mara Chin	Sino-Tibetan	Eurasia	160	85	56	65.88
wash1253	Washo		North America	152	85	56	65.88
mamv1243	Mamvu	Central Sudanic	Africa	136	82	54	65.85
nsen1242	Nsenga	Atlantic-Congo	Africa	160	82	54	65.85
midd1327	Middle Watut	Austronesian	Papunesia	140	76	50	65.79
puel1244	Puelche		South America	128	76	50	65.79
ibib1240	Ibibio	Atlantic-Congo	Africa	140	73	48	65.75
