Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
apol1242	Apolista	Arawakan	South America	14	13	13	100
mehi1240	Mehináku	Arawakan	South America	4	4	4	100
tain1254	Taino	Arawakan	North America	4	4	4	100
sara1331	Saraveca	Arawakan	South America	19	17	16	94.12
asha1243	Asháninka	Arawakan	South America	91	87	73	83.91
waur1244	Waurá	Arawakan	South America	86	80	66	82.5
isla1278	Island Carib	Arawakan	North America	85	78	64	82.05
mach1267	Machiguenga	Arawakan	South America	96	86	69	80.23
omii1238	Omi	Central Sudanic	Africa	18	10	8	80
noma1263	Nomatsiguenga	Arawakan	South America	96	88	70	79.55
pich1237	Pichis Ashéninka	Arawakan	South America	148	67	53	79.1
kaby1243	Kabyle	Afro-Asiatic	Africa	65	33	26	78.79
pila1245	Pilagá	Guaicuruan	South America	183	89	70	78.65
yane1238	Yanesha'	Arawakan	South America	114	84	66	78.57
nort2864	Wemale	Austronesian	Papunesia	76	41	32	78.05
iton1250	Itonama		South America	170	81	63	77.78
wapi1253	Wapishana	Arawakan	South America	86	81	63	77.78
paun1241	Paunaka	Arawakan	South America	99	89	69	77.53
abip1241	Abipon	Guaicuruan	South America	129	66	51	77.27
bare1276	Baré	Arawakan	South America	117	85	65	76.47
igna1246	Ignaciano	Arawakan	South America	91	85	65	76.47
piap1246	Piapoco	Arawakan	South America	59	29	22	75.86
sout2989	Southern Lengua	Lengua-Mascoy	South America	193	90	68	75.56
tepe1278	Tepecano	Uto-Aztecan	North America	121	57	43	75.44
araw1276	Lokono	Arawakan	South America	136	76	57	75
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	3	75
sons1242	Sonsorol	Austronesian	Papunesia	181	87	65	74.71
cham1318	Chamicuro	Arawakan	South America	54	51	38	74.51
high1276	Highland Popoluca	Mixe-Zoque	North America	186	86	64	74.42
mbya1239	Mbyá Guaraní	Tupian	South America	161	82	61	74.39
yavi1244	Yavitero-Pareni	Arawakan	South America	117	82	61	74.39
apur1254	Apurinã	Arawakan	South America	155	87	64	73.56
trin1274	Trinitario-Javeriano-Loretano	Arawakan	South America	146	79	58	73.42
kala1400	Central Kalapuya	Kalapuyan	North America	139	75	55	73.33
baur1253	Baure	Arawakan	South America	168	86	63	73.26
wuvu1239	Wuvulu-Aua	Austronesian	Papunesia	151	74	54	72.97
kips1239	Kipsigis	Nilotic	Africa	156	85	62	72.94
sand1273	Sandawe		Africa	76	48	35	72.92
moco1246	Mocoví	Guaicuruan	South America	169	81	59	72.84
bani1255	Baniwa do Icana	Arawakan	South America	85	77	56	72.73
haaa1252	Ha	Atlantic-Congo	Africa	187	84	61	72.62
curr1243	Curripaco	Arawakan	South America	101	91	66	72.53
guar1293	Baniva de Maroa	Arawakan	South America	101	91	66	72.53
high1243	Highland Totonac	Totonacan	North America	120	65	47	72.31
cayu1262	Cayubaba		South America	131	72	52	72.22
gari1256	Garifuna	Arawakan	North America	80	75	54	72
elmo1238	El Molo	Afro-Asiatic	Africa	171	82	59	71.95
gusi1247	Gusii	Atlantic-Congo	Africa	173	85	61	71.76
mose1249	Mosetén-Chimané		South America	179	85	61	71.76
cams1241	Camsá		South America	124	60	43	71.67
saam1283	Saamia	Atlantic-Congo	Africa	134	74	53	71.62
sata1237	Satawalese	Austronesian	Papunesia	140	74	53	71.62
guma1254	Gumawana	Austronesian	Papunesia	176	88	63	71.59
karo1304	Karok		North America	164	88	63	71.59
moni1237	Mangue	Otomanguean	North America	84	42	30	71.43
para1311	Paraguayan Guaraní	Tupian	South America	54	28	20	71.43
siks1238	Siksika	Algic	North America	162	84	60	71.43
temo1245	Temoaya Otomi	Otomanguean	North America	146	70	50	71.43
take1257	Takelma		North America	173	87	62	71.26
buki1249	Bukiyip	Nuclear Torricelli	Papunesia	90	80	57	71.25
pare1272	Parecís	Arawakan	South America	144	80	57	71.25
seng1281	Sengseng	Austronesian	Papunesia	100	59	42	71.19
bebe1248	Bebele	Atlantic-Congo	Africa	184	90	64	71.11
maib1239	Maybrat-Karon		Papunesia	174	90	64	71.11
toba1268	Toba-Maskoy	Lengua-Mascoy	South America	190	90	64	71.11
chiq1248	Lomeriano-Ignaciano Chiquitano	Chiquitano	South America	166	83	59	71.08
mamv1243	Mamvu	Central Sudanic	Africa	136	76	54	71.05
wole1240	Woleaian	Austronesian	Papunesia	145	76	54	71.05
ulit1238	Ulithian	Austronesian	Papunesia	177	86	61	70.93
tawa1286	Tawallammat Tamajaq	Afro-Asiatic	Africa	127	55	39	70.91
cani1243	Canichana		South America	50	24	17	70.83
acha1250	Achagua	Arawakan	South America	124	89	63	70.79
olut1240	Oluta Popoluca	Mixe-Zoque	North America	180	89	63	70.79
nhen1239	Nhengatu	Tupian	South America	181	85	60	70.59
sene1264	Seneca	Iroquoian	North America	174	85	60	70.59
nden1248	Ndengereko	Atlantic-Congo	Africa	88	61	43	70.49
bugi1244	Buginese	Austronesian	Papunesia	183	88	62	70.45
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	71	50	70.42
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	54	38	70.37
mana1295	Manam	Austronesian	Papunesia	175	91	64	70.33
daak1235	Da'a Kaili	Austronesian	Papunesia	123	64	45	70.31
umaa1242	Uma	Austronesian	Papunesia	123	64	45	70.31
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	84	59	70.24
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	47	33	70.21
makw1236	Makwe	Atlantic-Congo	Africa	86	67	47	70.15
lowl1260	Lowland Oaxaca Chontal	Tequistlatecan	North America	173	87	61	70.11
niva1238	Nivaclé	Matacoan	South America	188	87	61	70.11
woli1241	Wolio	Austronesian	Papunesia	182	87	61	70.11
abad1241	Abadi	Austronesian	Papunesia	118	60	42	70
chey1247	Cheyenne	Algic	North America	139	70	49	70
motu1246	Motu	Austronesian	Papunesia	160	80	56	70
nade1244	Nadëb	Naduhup	South America	64	30	21	70
yawa1261	Yawalapití	Arawakan	South America	58	30	21	70
wayu1243	Wayuu	Arawakan	South America	117	83	58	69.88
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	63	44	69.84
gilb1244	Gilbertese	Austronesian	Papunesia	171	86	60	69.77
onon1246	Onondaga	Iroquoian	North America	190	86	60	69.77
beng1282	Benga	Atlantic-Congo	Africa	132	56	39	69.64
anem1249	Anem		Papunesia	91	79	55	69.62
tswa1255	Tswa	Atlantic-Congo	Africa	162	79	55	69.62
tuba1278	Tübatulabal	Uto-Aztecan	North America	152	79	55	69.62
moch1257	Mocho	Mayan	North America	163	82	57	69.51
plai1258	Plains Cree	Algic	North America	174	82	57	69.51
tuge1241	Tugen	Nilotic	Africa	126	72	50	69.44
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	72	50	69.44
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	85	59	69.41
chim1312	Chimwiini	Atlantic-Congo	Africa	81	49	34	69.39
mono1273	Mono-Alu	Austronesian	Papunesia	111	62	43	69.35
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	75	52	69.33
waiw1244	Waiwai	Cariban	South America	178	88	61	69.32
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	91	63	69.23
elna1235	El Nayar Cora	Uto-Aztecan	North America	162	78	54	69.23
gaaa1244	Ga	Atlantic-Congo	Africa	133	65	45	69.23
halk1245	Halkomelem	Salishan	North America	193	91	63	69.23
ruka1240	Rukai	Austronesian	Papunesia	191	91	63	69.23
ware1255	Warekena do San Miguel	Arawakan	South America	131	65	45	69.23
quil1240	Quileute	Chimakuan	North America	165	81	56	69.14
tuka1248	Tukang Besi North	Austronesian	Papunesia	175	81	56	69.14
dobe1238	Dobel	Austronesian	Papunesia	145	68	47	69.12
teng1272	Tengger	Austronesian	Papunesia	121	68	47	69.12
bala1315	Balantak	Austronesian	Papunesia	178	84	58	69.05
huas1242	Huastec	Mayan	North America	176	84	58	69.05
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	71	49	69.01
ayiw1239	Äiwoo	Austronesian	Papunesia	172	87	60	68.97
kuan1247	Kuanyama	Atlantic-Congo	Africa	173	87	60	68.97
miam1252	Miami	Algic	North America	120	58	40	68.97
nyan1307	Nyankole	Atlantic-Congo	Africa	185	87	60	68.97
pohn1238	Pohnpeian	Austronesian	Papunesia	182	87	60	68.97
soga1242	Soga	Atlantic-Congo	Africa	181	87	60	68.97
wola1253	Wolane	Afro-Asiatic	Africa	165	87	60	68.97
ashe1272	Ashéninka Perené	Arawakan	South America	193	90	62	68.89
bidy1244	Kanyaki-Kagbaaga-Kajoko Bidyogo	Atlantic-Congo	Africa	138	90	62	68.89
bura1267	Burarra	Maningrida	Australia	87	77	53	68.83
resi1247	Resígaro	Arawakan	South America	83	77	53	68.83
coeu1236	Coeur d'Alene	Salishan	North America	157	80	55	68.75
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	80	55	68.75
teun1241	Te'un	Austronesian	Papunesia	53	32	22	68.75
yapu1240	Yeri	Nuclear Torricelli	Papunesia	163	80	55	68.75
pali1279	Palikúr	Arawakan	South America	111	83	57	68.67
shaw1249	Shawnee	Algic	North America	168	83	57	68.67
papa1238	Papantla Totonac	Totonacan	North America	128	70	48	68.57
sanj1284	Western Tlacolula Valley Zapotec	Otomanguean	North America	152	70	48	68.57
mans1260	Mansim	Hatam-Mansim	Papunesia	71	38	26	68.42
opat1246	Teguima	Uto-Aztecan	North America	120	57	39	68.42
tote1238	Totela	Atlantic-Congo	Africa	161	76	52	68.42
akka1240	Akkadian	Afro-Asiatic	Eurasia	167	79	54	68.35
wyan1247	Huron-Wyandot	Iroquoian	North America	111	60	41	68.33
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	41	28	68.29
dual1243	Duala	Atlantic-Congo	Africa	138	63	43	68.25
nama1264	Nama (Namibia)	Khoe-Kwadi	Africa	91	63	43	68.25
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	85	58	68.24
rung1258	Runga	Maban	Africa	178	85	58	68.24
akan1250	Akan	Atlantic-Congo	Africa	57	44	30	68.18
puin1248	Puinave		South America	44	22	15	68.18
baga1272	Baga Sitemu	Atlantic-Congo	Africa	140	69	47	68.12
dibo1245	Dibole	Atlantic-Congo	Africa	124	69	47	68.12
baba1268	Babatana	Austronesian	Papunesia	138	72	49	68.06
lowe1427	Lower Chehalis	Salishan	North America	148	75	51	68
