Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	3	3	100
mehi1240	Mehináku	Arawakan	South America	4	1	1	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	5	5	100
tain1254	Taino	Arawakan	North America	4	1	1	100
nyun1247	Nyunga	Pama-Nyungan	Australia	26	11	9	81.82
yawa1261	Yawalapití	Arawakan	South America	58	22	18	81.82
nonu1241	Nonuya	Huitotoan	South America	54	21	17	80.95
nant1250	Nanti	Arawakan	South America	80	57	46	80.7
iqui1243	Iquito	Zaparoan	South America	116	39	31	79.49
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	42	33	78.57
beel1236	Beele	Afro-Asiatic	Africa	52	14	11	78.57
acha1250	Achagua	Arawakan	South America	124	60	47	78.33
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	23	18	78.26
baga1272	Baga Sitemu	Atlantic-Congo	Africa	140	50	39	78
piap1246	Piapoco	Arawakan	South America	59	54	42	77.78
resi1247	Resígaro	Arawakan	South America	83	31	24	77.42
siwi1239	Siwi	Afro-Asiatic	Africa	168	57	44	77.19
guar1293	Baniva de Maroa	Arawakan	South America	101	39	30	76.92
nkor1239	Nkoroo	Ijoid	Africa	54	13	10	76.92
awab1243	Awabakal	Pama-Nyungan	Australia	67	51	39	76.47
baha1260	Bahamas Creole English	Indo-European	North America	103	34	26	76.47
kaur1267	Kaurna	Pama-Nyungan	Australia	48	34	26	76.47
icel1247	Icelandic	Indo-European	Eurasia	184	54	41	75.93
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	54	41	75.93
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	29	22	75.86
saki1247	Sakizaya	Austronesian	Papunesia	135	37	28	75.68
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	53	40	75.47
ajyi1238	Ajyíninka Apurucayali	Arawakan	South America	69	57	43	75.44
apol1242	Apolista	Arawakan	South America	14	4	3	75
bare1276	Baré	Arawakan	South America	117	56	42	75
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	48	36	75
goro1270	Gorowa	Afro-Asiatic	Africa	13	4	3	75
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	20	15	75
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	20	15	75
mbaa1245	Mba	Atlantic-Congo	Africa	137	52	39	75
poya1241	Poyanáwa	Pano-Tacanan	South America	50	12	9	75
rian1263	Riantana	Kolopom	Papunesia	112	36	27	75
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	56	42	75
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	12	9	75
pali1279	Palikúr	Arawakan	South America	111	51	38	74.51
ando1256	Andoque		South America	38	35	26	74.29
daww1239	Dâw	Naduhup	South America	89	58	43	74.14
gaaa1245	Gaa	Atlantic-Congo	Africa	79	27	20	74.07
inga1252	Colombian Inga	Quechuan	South America	69	54	40	74.07
ticu1245	Ticuna	Ticuna-Yuri	South America	154	54	40	74.07
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	50	37	74
maqu1238	Ye'kwana	Cariban	South America	56	50	37	74
abip1241	Abipon	Guaicuruan	South America	129	42	31	73.81
mayk1239	Maykulan	Pama-Nyungan	Australia	152	57	42	73.68
pagi1243	Pagibete	Atlantic-Congo	Africa	170	57	42	73.68
land1256	Landoma	Atlantic-Congo	Africa	137	49	36	73.47
tuni1252	Tunica		North America	162	49	36	73.47
para1311	Paraguayan Guaraní	Tupian	South America	54	45	33	73.33
waur1244	Waurá	Arawakan	South America	86	30	22	73.33
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	56	41	73.21
siri1273	Sirionó	Tupian	South America	169	56	41	73.21
wawa1246	Wawa	Atlantic-Congo	Africa	188	63	46	73.02
gang1267	Ganggalida	Tangkic	Australia	94	37	27	72.97
cori1240	Cori	Atlantic-Congo	Africa	139	48	35	72.92
fuln1247	Fulniô		South America	177	59	43	72.88
malt1254	Maltese	Afro-Asiatic	Eurasia	173	59	43	72.88
macu1259	Macushi	Cariban	South America	66	55	40	72.73
moco1246	Mocoví	Guaicuruan	South America	169	55	40	72.73
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	40	29	72.5
abar1238	Mungbam	Atlantic-Congo	Africa	180	58	42	72.41
apur1254	Apurinã	Arawakan	South America	155	58	42	72.41
rutu1240	Rutul	Nakh-Daghestanian	Eurasia	143	47	34	72.34
chip1241	Chippewa	Algic	North America	171	54	39	72.22
para1316	Paraujano	Arawakan	South America	53	36	26	72.22
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	36	26	72.22
yany1243	Yanyuwa	Pama-Nyungan	Australia	90	36	26	72.22
bube1242	Bube	Atlantic-Congo	Africa	135	43	31	72.09
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	50	36	72
bulu1251	Bulu (Cameroon)	Atlantic-Congo	Africa	164	50	36	72
lafo1243	Lafofa		Africa	68	25	18	72
culi1244	Culina	Arawan	South America	179	64	46	71.88
kumb1268	Kumbainggar	Pama-Nyungan	Australia	192	64	46	71.88
mala1481	Manado Malay	Austronesian	Papunesia	178	64	46	71.88
mamv1243	Mamvu	Central Sudanic	Africa	136	46	33	71.74
budz1238	Budza	Atlantic-Congo	Africa	166	53	38	71.7
kulu1253	Kulung (Nepal)	Sino-Tibetan	Eurasia	168	53	38	71.7
bord1248	Border Kuna	Chibchan	South America	162	56	40	71.43
cham1318	Chamicuro	Arawakan	South America	54	21	15	71.43
dime1235	Dime	South Omotic	Africa	52	14	10	71.43
guny1241	Gunya	Pama-Nyungan	Australia	177	63	45	71.43
ndun1249	Ndunga	Atlantic-Congo	Africa	127	42	30	71.43
osam1235	Osamayi	Atlantic-Congo	Africa	105	35	25	71.43
sara1331	Saraveca	Arawakan	South America	19	7	5	71.43
noon1243	Noone	Atlantic-Congo	Africa	172	59	42	71.19
paaa1242	Pa'a	Afro-Asiatic	Africa	183	59	42	71.19
bila1255	Bila	Atlantic-Congo	Africa	134	45	32	71.11
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	45	32	71.11
sora1254	Sora	Austroasiatic	Eurasia	145	45	32	71.11
loba1239	Lobala	Atlantic-Congo	Africa	98	38	27	71.05
bebe1248	Bebele	Atlantic-Congo	Africa	184	62	44	70.97
tsix1234	Ts'ixa	Khoe-Kwadi	Africa	193	62	44	70.97
kara1476	Karadjeri	Pama-Nyungan	Australia	67	55	39	70.91
maco1239	Maco	Saliban	South America	163	55	39	70.91
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	55	39	70.91
tote1238	Totela	Atlantic-Congo	Africa	161	55	39	70.91
char1269	Chara	Ta-Ne-Omotic	Africa	149	48	34	70.83
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	48	34	70.83
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	58	41	70.69
nort2671	North Saami	Uralic	Eurasia	167	58	41	70.69
arab1267	Arabana	Pama-Nyungan	Australia	62	51	36	70.59
ofay1240	Ofayé	Nuclear-Macro-Je	South America	160	51	36	70.59
