Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	7	100
tain1254	Taino	Arawakan	North America	4	3	3	100
nort2957	Northern Puebla Nahuatl	Uto-Aztecan	North America	153	138	130	94.2
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	119	112	94.12
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	117	109	93.16
tete1251	Tetelcingo Nahuatl	Uto-Aztecan	North America	173	152	141	92.76
sier1248	Sierra Negra Nahuatl	Uto-Aztecan	North America	145	130	120	92.31
bera1262	Berau Malay	Austronesian	Papunesia	11	11	10	90.91
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	74	67	90.54
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	115	103	89.57
pipi1250	Pipil	Uto-Aztecan	North America	170	145	127	87.59
high1243	Highland Totonac	Totonacan	North America	120	104	89	85.58
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	89	76	85.39
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	115	98	85.22
cani1243	Canichana		South America	50	46	39	84.78
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	11	84.62
gaaa1245	Gaa	Atlantic-Congo	Africa	79	75	63	84
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	50	42	84
temo1245	Temoaya Otomi	Otomanguean	North America	146	135	113	83.7
papa1238	Papantla Totonac	Totonacan	North America	128	118	98	83.05
tepe1278	Tepecano	Uto-Aztecan	North America	121	114	94	82.46
clas1250	Classical Nahuatl	Uto-Aztecan	North America	185	159	131	82.39
twan1247	Twana	Salishan	North America	87	83	68	81.93
mich1245	Michoacán Nahuatl	Uto-Aztecan	North America	177	149	122	81.88
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	77	63	81.82
achi1256	Achi	Mayan	North America	164	152	124	81.58
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	119	97	81.51
uppe1275	Upper Necaxa Totonac	Totonacan	North America	176	150	122	81.33
sout2976	Southeastern Tepehuan	Uto-Aztecan	North America	167	149	121	81.21
ndam1251	Ndam	Afro-Asiatic	Africa	41	37	30	81.08
abip1241	Abipon	Guaicuruan	South America	129	119	96	80.67
lafo1243	Lafofa		Africa	68	62	50	80.65
umot1240	Umotína	Bororoan	South America	73	67	54	80.6
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	127	102	80.31
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	156	125	80.13
lazz1240	Laz	Kartvelian	Eurasia	171	145	116	80
elna1235	El Nayar Cora	Uto-Aztecan	North America	162	144	115	79.86
yecu1235	Yecuatla Totonac	Totonacan	North America	172	148	118	79.73
yukp1241	Yukpa	Cariban	South America	106	102	81	79.41
male1297	Maléku Jaíka	Chibchan	North America	188	158	125	79.11
kala1400	Central Kalapuya	Kalapuyan	North America	139	129	102	79.07
kips1239	Kipsigis	Nilotic	Africa	156	133	105	78.95
moni1237	Mangue	Otomanguean	North America	84	76	60	78.95
olut1240	Oluta Popoluca	Mixe-Zoque	North America	180	152	120	78.95
ling1263	Kinshasa Lingala	Atlantic-Congo	Africa	75	71	56	78.87
gada1258	Ga'dang	Austronesian	Papunesia	70	66	52	78.79
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	113	89	78.76
tekt1235	Tektiteko	Mayan	North America	170	150	118	78.67
hebr1245	Modern Hebrew	Afro-Asiatic	Eurasia	167	140	110	78.57
huas1242	Huastec	Mayan	North America	176	154	121	78.57
huic1243	Huichol	Uto-Aztecan	North America	179	157	123	78.34
sham1280	Shambala	Atlantic-Congo	Africa	118	106	83	78.3
jita1239	Jita	Atlantic-Congo	Africa	75	69	54	78.26
mayo1264	Mayo	Uto-Aztecan	North America	168	147	115	78.23
gaam1241	Gaam	Eastern Jebel	Africa	83	78	61	78.21
boli1256	Bolinao	Austronesian	Papunesia	60	55	43	78.18
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	87	68	78.16
gwen1239	Gweno	Atlantic-Congo	Africa	135	123	96	78.05
anua1242	Anuak	Nilotic	Africa	71	68	53	77.94
mans1260	Mansim	Hatam-Mansim	Papunesia	71	68	53	77.94
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	122	95	77.87
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	122	95	77.87
giry1241	Giryama	Atlantic-Congo	Africa	83	72	56	77.78
colu1241	Columbia-Wenatchi	Salishan	North America	178	156	121	77.56
mbol1247	Mbole	Atlantic-Congo	Africa	89	80	62	77.5
moch1257	Mocho	Mayan	North America	163	142	110	77.46
vunj1238	Vunjo	Atlantic-Congo	Africa	165	142	110	77.46
atak1252	Atakapa		North America	149	132	102	77.27
kaon1241	Kaonde	Atlantic-Congo	Africa	120	110	85	77.27
kunz1244	Kunza		South America	72	66	51	77.27
yaoo1241	Yao	Atlantic-Congo	Africa	137	123	95	77.24
ndob1238	Ndobo	Atlantic-Congo	Africa	85	79	61	77.22
yawa1261	Yawalapití	Arawakan	South America	58	57	44	77.19
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	83	64	77.11
makw1236	Makwe	Atlantic-Congo	Africa	86	78	60	76.92
nara1262	Nara		Africa	132	117	90	76.92
xinc1246	Xinca-Guazacapan	Xincan	North America	164	142	109	76.76
chig1238	Chiga	Atlantic-Congo	Africa	95	86	66	76.74
lill1248	Lillooet	Salishan	North America	190	159	122	76.73
tega1236	Tegali	Rashad	Africa	82	73	56	76.71
shas1239	Shasta	Shastan	North America	144	120	92	76.67
mala1522	Malayo	Chibchan	South America	157	137	105	76.64
west2624	Western Huasteca Nahuatl	Uto-Aztecan	North America	128	111	85	76.58
sanm1301	San Marcos Tlalcoyalco Popoloca	Otomanguean	North America	141	128	98	76.56
belu1239	Belueli	Atlantic-Congo	Africa	73	68	52	76.47
cher1273	Cherokee	Iroquoian	North America	184	157	120	76.43
tong1318	Tonga (Zambia)	Atlantic-Congo	Africa	160	140	107	76.43
dard1243	Dar Daju Daju	Dajuic	Africa	93	89	68	76.4
loba1239	Lobala	Atlantic-Congo	Africa	98	89	68	76.4
soli1239	Soli	Atlantic-Congo	Africa	101	89	68	76.4
