Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
ndam1251	Ndam	Afro-Asiatic	Africa	41	39	32	82.05
nara1262	Nara		Africa	132	128	105	82.03
cata1286	Catawba	Siouan	North America	125	122	100	81.97
boru1252	Boruca	Chibchan	North America	117	111	90	81.08
esee1247	Ese	Koiarian	Papunesia	75	70	56	80
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	12	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
pawa1255	Pawaia		Papunesia	110	105	84	80
jiba1237	Jiba	Atlantic-Congo	Africa	120	114	91	79.82
kips1239	Kipsigis	Nilotic	Africa	156	152	121	79.61
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	29	23	79.31
ndom1245	Ndom	Kolopom	Papunesia	74	72	57	79.17
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	48	38	79.17
gura1251	Gurani	Indo-European	Eurasia	128	123	97	78.86
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	104	82	78.85
homa1239	Homa	Atlantic-Congo	Africa	14	14	11	78.57
sooo1256	Soo	Kuliak	Africa	82	79	62	78.48
nkor1239	Nkoroo	Ijoid	Africa	54	51	40	78.43
tibe1274	Tibea	Atlantic-Congo	Africa	95	92	72	78.26
jita1239	Jita	Atlantic-Congo	Africa	75	73	57	78.08
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	145	113	77.93
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	77	60	77.92
cent2150	Central Tunebo	Chibchan	South America	159	153	119	77.78
nuuc1236	Nuu-chah-nulth	Wakashan	North America	151	142	110	77.46
daha1245	Dahalo	Afro-Asiatic	Africa	46	44	34	77.27
teda1241	Tedaga	Saharan	Africa	160	154	119	77.27
twan1247	Twana	Salishan	North America	87	83	64	77.11
idom1241	Idoma	Atlantic-Congo	Africa	144	139	107	76.98
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	182	140	76.92
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	138	106	76.81
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	99	76	76.77
kaur1267	Kaurna	Pama-Nyungan	Australia	48	47	36	76.6
