Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
hrus1242	Hruso		Eurasia	89	77	72	93.51
mill1237	Millcayac	Huarpean	South America	122	93	85	91.4
tibe1274	Tibea	Atlantic-Congo	Africa	95	68	62	91.18
shol1240	Sholaga	Dravidian	Eurasia	172	101	92	91.09
bang1369	Bangru	Sino-Tibetan	Eurasia	151	92	83	90.22
embe1260	Emberá-Catío	Chocoan	South America	164	92	83	90.22
pura1257	Purari		Papunesia	158	102	92	90.2
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	71	64	90.14
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	110	99	90
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	99	89	89.9
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	58	52	89.66
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	106	95	89.62
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	104	93	89.42
bada1257	Badaga	Dravidian	Eurasia	127	85	76	89.41
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	103	92	89.32
esee1247	Ese	Koiarian	Papunesia	75	37	33	89.19
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	80	71	88.75
siaw1243	Siawi	Amto-Musan	Papunesia	123	88	78	88.64
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	79	70	88.61
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	79	70	88.61
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	79	70	88.61
mala1463	Malavedan	Dravidian	Eurasia	163	96	85	88.54
kunz1244	Kunza		South America	72	61	54	88.52
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	34	30	88.24
than1259	Thangmi	Sino-Tibetan	Eurasia	177	101	89	88.12
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	83	73	87.95
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	107	94	87.85
poya1241	Poyanáwa	Pano-Tacanan	South America	50	41	36	87.8
yona1241	Yonaguni	Japonic	Eurasia	164	98	86	87.76
ndom1245	Ndom	Kolopom	Papunesia	74	65	57	87.69
tuvi1240	Tuvinian	Turkic	Eurasia	154	97	85	87.63
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	104	91	87.5
char1269	Chara	Ta-Ne-Omotic	Africa	149	88	77	87.5
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	96	84	87.5
moun1252	Mountain Koiali	Koiarian	Papunesia	168	104	91	87.5
